symbol	fbgn
egr	FBgn0033483
Act88F	FBgn0000047
PP2A-B'	FBgn0042693
CG6151	FBgn0036533
Sox15	FBgn0005613
caps	FBgn0023095
dm	FBgn0000472
Chi	FBgn0013764
neur	FBgn0002932
ast	FBgn0015905
beta4GalT7	FBgn0039258
amd	FBgn0000075
TepII	FBgn0041182
CG5522	FBgn0034158
pb	FBgn0051481
btl	FBgn0005592
CG18190	FBgn0034403
drl	FBgn0015380
Tace	FBgn0039734
grh	FBgn0004586
Appl	FBgn0000108
pit	FBgn0025140
spi	FBgn0005672
pyd	FBgn0003177
Magi	FBgn0034590
Rheb	FBgn0041191
Stam	FBgn0027363
CG12063	FBgn0039851
rl	FBgn0003256
Gap1	FBgn0004390
amos	FBgn0003270
Cg25C	FBgn0000299
gft	FBgn0001980
ru	FBgn0003295
p38b	FBgn0024846
CG10307	FBgn0034655
PFE	FBgn0032661
LpR1	FBgn0066101
ttk	FBgn0003870
Dsor1	FBgn0010269
Caf1-105	FBgn0033526
Rbf	FBgn0015799
inv	FBgn0001269
Antp	FBgn0000095
CG7993	FBgn0038585
CG13698	FBgn0036773
Idgf4	FBgn0026415
opa	FBgn0003002
fs(1)N	FBgn0004650
CG11275	FBgn0034706
CG7924	FBgn0036416
regucalcin	FBgn0030362
cv-2	FBgn0000395
by	FBgn0000244
L	FBgn0001332
rn	FBgn0003263
Rox8	FBgn0005649
px	FBgn0003175
CG7358	FBgn0030974
frc	FBgn0042641
LanA	FBgn0002526
ewg	FBgn0005427
lic	FBgn0015763
CG10089	FBgn0036369
mdy	FBgn0004797
Idgf5	FBgn0064237
dock	FBgn0010583
CG31961	FBgn0051961
Ras85D	FBgn0003205
CG6680	FBgn0036968
CG2051	FBgn0037376
Fas2	FBgn0000635
Crk	FBgn0024811
fng	FBgn0011591
dUTPase	FBgn0013349
CG9812	FBgn0034860
dnt	FBgn0024245
svr	FBgn0004648
btd	FBgn0000233
MYPT-75D	FBgn0036801
mRpL12	FBgn0011787
CG32703	FBgn0052703
CG32796	FBgn0040388
elB	FBgn0004858
phl	FBgn0003079
pbl	FBgn0003041
CG9266	FBgn0032909
Sir2	FBgn0024291
Ca-P60A	FBgn0004551
CG4036	FBgn0032149
crol	FBgn0020309
CG30440	FBgn0050440
FK506-bp1	FBgn0013269
ade2	FBgn0000052
BobA	FBgn0040487
MAPk-Ak2	FBgn0013987
mRpS25	FBgn0030572
Orc2	FBgn0015270
net	FBgn0002931
Bap60	FBgn0025463
simj	FBgn0010762
mthl5	FBgn0037960
trio	FBgn0024277
Su(fu)	FBgn0005355
Pkc98E	FBgn0003093
cni	FBgn0000339
Mtl	FBgn0039532
CG3957	FBgn0034876
Ubx	FBgn0003944
CG9286	FBgn0038183
Pvr	FBgn0032006
Cct1	FBgn0041342
Nep5	FBgn0039478
insc	FBgn0011674
melt	FBgn0023001
Aplip1	FBgn0040281
Moe	FBgn0011661
pnr	FBgn0003117
CG10570	FBgn0040992
chrw	FBgn0015372
Tor	FBgn0021796
mmd	FBgn0041109
Jheh2	FBgn0034405
cdc2c	FBgn0004107
Bx	FBgn0000242
rhea	FBgn0020254
pll	FBgn0010441
CG4844	FBgn0061354
Gef26	FBgn0021873
gammaTub23C	FBgn0004176
CG8044	FBgn0035829
Rsu-1 - unknown ID
CHORD	FBgn0029503
ImpE2	FBgn0001254
pen	FBgn0015527
CG8664	FBgn0030836
CG2663	FBgn0037323
sfl	FBgn0020251
GV1	FBgn0027790
HLHmgamma	FBgn0002735
malpha	FBgn0002732
l(1)G0022	FBgn0027329
myoglianin	FBgn0026199
Ing3	FBgn0030945
Su(H)	FBgn0004837
crc	FBgn0000370
S2P	FBgn0033656
rg	FBgn0086911
CG17075	FBgn0031239
mys	FBgn0004657
sax	FBgn0003317
tefu	FBgn0045035
Cbl	FBgn0020224
CG15489	FBgn0085424
ft	FBgn0001075
Damm	FBgn0033659
sqz	FBgn0010768
CG5758	FBgn0032666
CG10962	FBgn0030073
CG16885	FBgn0032538
foxo	FBgn0038197
d	FBgn0086896
Tsp42Ei	FBgn0033130
aph-1	FBgn0031458
CG7160	FBgn0037114
ctp	FBgn0011760
Pi3K92E	FBgn0015279
Tsc1	FBgn0026317
Socs36E	FBgn0041184
CG6907	FBgn0031711
smo	FBgn0003444
Idgf3	FBgn0020414
fz2	FBgn0016797
oc	FBgn0004102
CkIIbeta	FBgn0000259
ash1	FBgn0005386
Aats-gly	FBgn0027088
toe	FBgn0036285
ced-6	FBgn0029092
Hs6st	FBgn0038755
CG11183	FBgn0034921
MED31	FBgn0037262
dalao	FBgn0030093
asf1	FBgn0029094
Stat92E	FBgn0016917
kst	FBgn0004167
glec	FBgn0015229
da	FBgn0000413
Fas3	FBgn0000636
dos	FBgn0016794
klu	FBgn0013469
Nos	FBgn0011676
pUf68	FBgn0028577
CG30069	FBgn0050069
fs(1)h	FBgn0004656
dac	FBgn0005677
eRF1	FBgn0036974
mod(mdg4)	FBgn0002781
Aef1	FBgn0005694
Mcm3	FBgn0024332
l(1)dd4	FBgn0001612
fw	FBgn0001083
bowl	FBgn0004893
CG7830	FBgn0032015
salr	FBgn0000287
Poxn	FBgn0003130
DLP	FBgn0031820
hop	FBgn0004864
Bruce	FBgn0037808
CG11407	FBgn0038733
O-fut1	FBgn0033901
CG6234	FBgn0038071
Bj1	FBgn0002638
CG12909	FBgn0033507
yellow-e3	FBgn0038150
Sk2	FBgn0052484
RacGAP50C - unknown ID
ftz	FBgn0001077
bs	FBgn0004101
CG6388	FBgn0032430
CG8942	FBgn0028545
sgg	FBgn0003371
Tab2	FBgn0086358
dlt	FBgn0024510
Iap2	FBgn0015247
en	FBgn0000577
lola	FBgn0005630
Toll-6	FBgn0036494
ato	FBgn0010433
Smox	FBgn0025800
bw	FBgn0000241
HLHm3	FBgn0002609
Sip1	FBgn0010620
HP1b	FBgn0030082
CG14757	FBgn0033274
pAbp	FBgn0003031
Rtnl1	FBgn0053113
how	FBgn0017397
kkv	FBgn0001311
sty	FBgn0014388
RfaBp	FBgn0016724
fy	FBgn0001084
hay	FBgn0001179
Gl	FBgn0001108
E2f	FBgn0011766
mle	FBgn0002774
CG8678	FBgn0032935
Pk92B	FBgn0014006
Cat	FBgn0000261
S6kII	FBgn0011285
CG1139	FBgn0035300
Apc	FBgn0015589
Syx1A	FBgn0013343
cic	FBgn0028386
tup	FBgn0003896
CG7144	FBgn0025687
ph-d	FBgn0004860
CG32560	FBgn0052560
pan	FBgn0085432
CG11103	FBgn0030522
dco	FBgn0002413
lack	FBgn0029006
Bub1	FBgn0025458
CG4045	FBgn0025629
CG13597	FBgn0039124
sl	FBgn0003416
CG32037	FBgn0052037
Jafrac2	FBgn0040308
CG15488	FBgn0085424
ald	FBgn0000063
Mer	FBgn0086384
pygo	FBgn0043900
jumu	FBgn0015396
cdc2	FBgn0004106
14-3-3epsilon	FBgn0020238
CG11601	FBgn0031244
bl	FBgn0015907
betaTub60D	FBgn0003888
Nrx-IV	FBgn0013997
Psc	FBgn0005624
babo	FBgn0011300
kek2	FBgn0015400
chb	FBgn0021760
CG33275	FBgn0035802
mbt	FBgn0025743
CG31453	FBgn0051453
eg	FBgn0000560
Cad99C	FBgn0039709
chico	FBgn0024248
Su(z)12	FBgn0020887
Art1	FBgn0037834
aru	FBgn0029095
f	FBgn0000630
rasp	FBgn0024194
CAH1	FBgn0027844
CG14781	FBgn0026871
msn	FBgn0010909
cos	FBgn0000352
alpha-Est5	FBgn0015573
CG5004	FBgn0030820
Hsp83	FBgn0001233
GlcT-1	FBgn0067102
CG5390	FBgn0032213
Alp23B	FBgn0031461
CG16868	FBgn0034498
Nsf2	FBgn0013998
dor	FBgn0000482
Pka-R1	FBgn0000275
Ddc	FBgn0000422
e(r)	FBgn0011586
Myb	FBgn0002914
SMSr	FBgn0052380
RpI1	FBgn0019938
hiw	FBgn0030600
scw	FBgn0005590
CG10459	FBgn0033440
cnk	FBgn0021818
ogre	FBgn0004646
cg	FBgn0000289
dbo	FBgn0040230
Socs16D	FBgn0030869
CG4022	FBgn0035986
sav	FBgn0053193
m4	FBgn0002629
dpp	FBgn0000490
eIF-1A	FBgn0026250
debcl	FBgn0029131
rost	FBgn0011705
Takl1	FBgn0046689
Thor	FBgn0022073
raw	FBgn0003209
CG10855	FBgn0035461
Int6	FBgn0025582
th	FBgn0003691
vvl	FBgn0086680
shn	FBgn0003396
lt	FBgn0002566
ksr	FBgn0015402
CG5224	FBgn0034354
Slbp	FBgn0041186
jing	FBgn0086655
18w	FBgn0004364
Mrtf	FBgn0052296
Scm	FBgn0003334
CG11835	FBgn0031264
S	FBgn0003310
kuz	FBgn0015954
Pkn	FBgn0020621
zen2	FBgn0004054
put	FBgn0003169
ush	FBgn0003963
Z4	FBgn0037066
Dsp1	FBgn0011764
CG1888	FBgn0033421
eIF-4a	FBgn0001942
scrib	FBgn0026178
Mbs	FBgn0005536
CG3038	FBgn0040373
Su(z)2	FBgn0008654
trc	FBgn0003744
phyl	FBgn0013725
trol	FBgn0001402
ck	FBgn0000317
Src64B	FBgn0003501
brn	FBgn0000221
Dl	FBgn0000463
hep	FBgn0010303
mam	FBgn0002643
RpS6	FBgn0004922
AP-2	FBgn0023417
Cam	FBgn0000253
CG17032	FBgn0036547
Hel25E	FBgn0014189
CG14301	FBgn0038632
endos	FBgn0061515
wfs1	FBgn0039003
aop	FBgn0000097
CG7339	FBgn0036188
wit	FBgn0024179
CG8501	FBgn0033724
Epac	FBgn0085421
repo	FBgn0011701
Osi2	FBgn0037410
pr-set7	FBgn0011474
pim	FBgn0003087
CG14549	FBgn0039403
colt	FBgn0019830
gt	FBgn0001150
RpS3	FBgn0002622
CG1999	FBgn0029947
l(2)tid	FBgn0002174
boca	FBgn0004132
trn	FBgn0010452
CG18672	FBgn0040628
Dhod	FBgn0000447
Gp150	FBgn0013272
Nep3	FBgn0031081
ecd	FBgn0000543
fzy	FBgn0001086
heph	FBgn0011224
Cdk7	FBgn0015617
Mcm2	FBgn0014861
PSR	FBgn0038948
CG7920	FBgn0039737
Nup358	FBgn0039302
ca	FBgn0000247
CG40190	FBgn0058190
TSG101	FBgn0036666
Sk1	FBgn0030300
cora	FBgn0010434
dbr	FBgn0067779
Nle	FBgn0021874
Sdc	FBgn0010415
Psn	FBgn0019947
fus	FBgn0023441
Ide	FBgn0001247
Df31	FBgn0022893
Hsc70-4	FBgn0001219
cbt	FBgn0043364
prd	FBgn0003145
Ser	FBgn0004197
mib1	FBgn0036558
slou	FBgn0002941
ssh	FBgn0029157
CG8578	FBgn0030699
CG8258	FBgn0033342
sktl	FBgn0016984
Alh	FBgn0037471
mit(1)15	FBgn0004643
hfw	FBgn0001189
sda	FBgn0015541
Nep4	FBgn0038818
CG9752	FBgn0034614
a	FBgn0000008
dally	FBgn0011577
CG32687	FBgn0052687
ci	FBgn0004859
Traf1	FBgn0026319
CG1140	FBgn0035298
scb	FBgn0003328
Mkp3	FBgn0036844
CG15236	FBgn0033108
mab-2	FBgn0029003
Pi3K21B	FBgn0020622
Rpd3	FBgn0015805
RnrL	FBgn0011703
Gmd	FBgn0031661
knk	FBgn0001321
Pc	FBgn0003042
sala	FBgn0003313
fz	FBgn0001085
arm	FBgn0000117
Reg-3 - unknown ID
Snr1	FBgn0011715
CG14939	FBgn0032378
Kul	FBgn0039688
vn	FBgn0003984
Src42A	FBgn0004603
Kr	FBgn0001325
shark	FBgn0015295
Rh3	FBgn0003249
pnt	FBgn0003118
CG12169	FBgn0035143
apt	FBgn0015903
to	FBgn0039298
Fak56D	FBgn0020440
corto	FBgn0010313
CG8199	FBgn0037709
hth	FBgn0001235
Wnt5	FBgn0010194
kni	FBgn0001320
wdb	FBgn0027492
smt3	FBgn0026170
ct	FBgn0004198
pie	FBgn0005683
mew	FBgn0004456
gcm	FBgn0014179
Lim1	FBgn0026411
slif	FBgn0037203
Ets96B	FBgn0039225
CG12265	FBgn0038489
unk	FBgn0004395
poly	FBgn0086371
JIL-1	FBgn0020412
CG7845	FBgn0033059
por	FBgn0004957
CG7890	FBgn0031005
E(z)	FBgn0000629
CG16969	FBgn0032390
Nep1	FBgn0029843
CR33327 - unknown ID
fkh	FBgn0000659
sqh	FBgn0003514
CG5651	FBgn0086706
viaf	FBgn0036237
Iswi	FBgn0011604
Lap1	FBgn0033984
cact	FBgn0000250
kn	FBgn0001319
Sh	FBgn0003380
l(1)G0320	FBgn0028327
Sras	FBgn0029121
CkIIalpha	FBgn0000258
stck	FBgn0020249
CG5392	FBgn0036463
mas	FBgn0011653
OstStt3	FBgn0011336
Ca-alpha1D	FBgn0001991
Pk17E	FBgn0004462
Cas	FBgn0022213
tsg	FBgn0003865
ash2	FBgn0000139
Pi3K68D	FBgn0015278
eve	FBgn0000606
Neu3	FBgn0051314
nos	FBgn0002962
CG12102	FBgn0083940
S6k	FBgn0015806
CG7097	FBgn0034421
Lnk	FBgn0028717
Jra	FBgn0001291
RfC40	FBgn0015287
CG10990	FBgn0030520
miple2	FBgn0029002
Trx-2	FBgn0040070
Rbf2	FBgn0038390
Rac2	FBgn0014011
PTP-ER	FBgn0016641
CG17362	FBgn0036393
dlg1	FBgn0001624
mirr	FBgn0014343
Mpk2	FBgn0015765
Csk	FBgn0086903
tnc	FBgn0039257
lok	FBgn0019686
Pkcdelta	FBgn0030387
Pak3	FBgn0044826
Sxl	FBgn0003659
chic	FBgn0000308
SMC2	FBgn0027783
Dif	FBgn0011274
botv	FBgn0027535
CG1607	FBgn0039844
dp	FBgn0053196
Mekk1	FBgn0024329
Ark	FBgn0024252
hdc	FBgn0010113
bun	FBgn0010460
CG16971	FBgn0035114
CG18316	FBgn0033261
par-1	FBgn0026193
dome	FBgn0043903
Cka	FBgn0044323
Aac11	FBgn0027885
elav	FBgn0000570
ab	FBgn0000011
eca	FBgn0069242
Rep1	FBgn0024732
CG14534	FBgn0031957
sgl	FBgn0010851
auxillin - unknown ID
toy	FBgn0019650
unpg	FBgn0015561
Taf1	FBgn0010355
CG30417	FBgn0050417
Bap170	FBgn0042085
Rala	FBgn0015286
Top1	FBgn0004924
sca	FBgn0003326
Tig	FBgn0011722
mRpS29	FBgn0034727
dom	FBgn0020306
numb	FBgn0002973
vas	FBgn0003970
CG8483	FBgn0038126
su(f)	FBgn0003559
upd3	FBgn0053542
CG1621	FBgn0033182
trx	FBgn0003862
Nipped-A	FBgn0053554
CG13139	FBgn0032230
Tom	FBgn0026320
flw	FBgn0000711
dy	FBgn0004511
eya	FBgn0000320
nub	FBgn0085424
Nc	FBgn0026404
Him	FBgn0030900
ebi	FBgn0023444
lolal	FBgn0022238
m	FBgn0002577
CG4645	FBgn0030435
Hsp23	FBgn0001224
Gprk2	FBgn0004834
CG7033	FBgn0030086
ed	FBgn0000547
tara	FBgn0040071
CG16959	FBgn0036481
ph-p	FBgn0004861
CG6631	FBgn0039206
sub	FBgn0003545
CG32048	FBgn0052048
Tao-1	FBgn0031030
RpL15	FBgn0028697
N	FBgn0004647
Acp70A	FBgn0003034
dx	FBgn0000524
cul-5	FBgn0039632
pxb	FBgn0053207
CG4168	FBgn0028888
mod(r)	FBgn0016038
slp1	FBgn0003430
fry	FBgn0016081
RhoGEF2	FBgn0023172
sno	FBgn0005410
l(3)IX-14 - unknown ID
fat2	FBgn0036930
dl	FBgn0000462
skd	FBgn0003415
ptc	FBgn0003892
Su(dx)	FBgn0003557
CG9307	FBgn0038180
wntD	FBgn0038134
ss	FBgn0003513
Idgf2	FBgn0020415
lig	FBgn0020279
emc	FBgn0000575
twi	FBgn0003900
tin	FBgn0004110
wg	FBgn0004009
Trl	FBgn0013263
crp	FBgn0001994
Nf1	FBgn0015269
mxc	FBgn0005639
wdn	FBgn0005642
pio	FBgn0020521
CG11092	FBgn0027537
lgs	FBgn0039907
CG15093	FBgn0034390
CG9270	FBgn0032908
Cyp310a1	FBgn0032693
Ilp7	FBgn0044046
edl	FBgn0023214
CG11642	FBgn0040340
Fmr1	FBgn0028734
CG30497	FBgn0050497
Pros26	FBgn0002284
Sos	FBgn0001965
Hdac3	FBgn0025825
csw	FBgn0000382
noi	FBgn0014366
puc	FBgn0004210
Eip93F	FBgn0013948
dod	FBgn0015379
W	FBgn0003997
Tak1	FBgn0026323
l(2)37Cc	FBgn0002031
cv	FBgn0000394
ana	FBgn0011746
Buffy	FBgn0040491
Caf1	FBgn0015610
Ilp6	FBgn0044047
CG17278	FBgn0046763
rno	FBgn0035106
Akt1	FBgn0010379
Pka-C1	FBgn0000273
fred	FBgn0051774
rgr	FBgn0033310
tgo	FBgn0015014
skl	FBgn0036786
brat	FBgn0010300
grk	FBgn0001137
bnl	FBgn0014135
Gug	FBgn0010825
morgue	FBgn0027609
CG11940	FBgn0031079
kay	FBgn0001297
CG18661	FBgn0040964
os	FBgn0004956
CG1518	FBgn0031149
mav	FBgn0039914
Sara	FBgn0026369
mor	FBgn0002783
activin-beta	FBgn0024913
CG5525	FBgn0032444
CG5397	FBgn0031327
CG3430	FBgn0031875
Ilk	FBgn0028427
Ugt86Di	FBgn0040251
torp4a	FBgn0025615
lqf	FBgn0028582
ref2	FBgn0032439
Wnt10	FBgn0031903
Gli	FBgn0001987
Mmp1	FBgn0035049
RhoGAP88C - unknown ID
CycE	FBgn0010382
Bub3	FBgn0025457
Bin1	FBgn0024491
CG10933	FBgn0034264
Cyt-c-d	FBgn0086907
sv	FBgn0005561
spen	FBgn0016977
tgy	FBgn0030984
Pak	FBgn0014001
hpo	FBgn0034453
CG10417	FBgn0033021
slp2	FBgn0004567
Dad	FBgn0020493
CAP	FBgn0033504
kto	FBgn0001324
kek1	FBgn0015399
Pka-C2	FBgn0000274
Mkk4	FBgn0024326
Pkc53E	FBgn0003091
CG17359	FBgn0036396
RhoGEF4	FBgn0035761
R	FBgn0004636
AGO1	FBgn0026611
CG9924	FBgn0086364
oxt	FBgn0015360
slpr	FBgn0030018
mth	FBgn0023000
Ilp2	FBgn0036046
faf	FBgn0005632
mub	FBgn0014362
sbr	FBgn0003321
CG33528	FBgn0053528
CG6860	FBgn0032633
cul-4	FBgn0033260
lwr	FBgn0010602
disco	FBgn0000459
CG7870	FBgn0032012
CG32158	FBgn0052158
CG11474	FBgn0034688
zen	FBgn0004053
CG15645	FBgn0030657
dsh	FBgn0000499
Nrg	FBgn0002968
sbb	FBgn0010575
CG4692	FBgn0035032
mRpL14	FBgn0040389
G-salpha60A	FBgn0001123
CG2972	FBgn0030177
Inos	FBgn0025885
neb	FBgn0004374
CG15057	FBgn0030908
oho23B	FBgn0015521
tll	FBgn0003720
scrt	FBgn0004880
fray	FBgn0023083
iHog	FBgn0031872
stet	FBgn0020248
grim	FBgn0015946
Scr	FBgn0003339
dve	FBgn0020307
CG8734	FBgn0033315
B-H2	FBgn0004854
fh	FBgn0030092
nkd	FBgn0002945
CG14755	FBgn0033282
Su(var)2-10	FBgn0003612
AP-47	FBgn0024833
tam	FBgn0004406
knrl	FBgn0001323
msi	FBgn0011666
Tie	FBgn0014073
cnc	FBgn0000338
RpL19	FBgn0002607
Xbp1	FBgn0021872
CG31782	FBgn0051782
Dfd	FBgn0000439
lilli	FBgn0041111
chn	FBgn0015371
gig	FBgn0005198
stan	FBgn0024836
b	FBgn0000153
Itp-r83A	FBgn0010051
CG7229	FBgn0034423
ncd	FBgn0002924
SelD	FBgn0020615
D	FBgn0000411
Pi3K59F	FBgn0015277
Egfr	FBgn0003731
awd	FBgn0000150
Ppn	FBgn0003137
Idgf1	FBgn0020416
sas	FBgn0002306
CG2702	FBgn0037540
G-oalpha47A	FBgn0001122
dlp	FBgn0041604
Ssl1	FBgn0037202
Rab-RP4	FBgn0015794
inx3	FBgn0028373
Phk-3	FBgn0035089
y	FBgn0004034
Pka-R2	FBgn0022382
spag	FBgn0015544
rad50	FBgn0034728
path	FBgn0036007
Mmp2	FBgn0033438
Bap55	FBgn0025716
HLHmdelta	FBgn0002734
slmb	FBgn0023423
CkIalpha	FBgn0015024
r	FBgn0003189
Fps85D	FBgn0000723
mad2	FBgn0035640
Krn	FBgn0052179
slik	FBgn0035001
Vang	FBgn0015838
nej	FBgn0015624
Rh4	FBgn0003250
CG3800	FBgn0034802
Myo10A	FBgn0030252
B-H1	FBgn0011758
CG13914	FBgn0035209
Gprk1	FBgn0004833
Vha68-2	FBgn0020367
spdo	FBgn0011716
Ext2	FBgn0029175
HLHm5	FBgn0002631
ey	FBgn0005558
C15	FBgn0004863
Ssdp	FBgn0011481
l(2)gl	FBgn0002121
sina	FBgn0003410
CG1910	FBgn0022349
Drip	FBgn0015872
bsk	FBgn0000229
Fib	FBgn0003062
Pk61C	FBgn0020386
mnb	FBgn0002777
Shc	FBgn0015296
CG17219	FBgn0031494
ImpE1	FBgn0001253
mnd	FBgn0002778
mbl	FBgn0053197
SmD3	FBgn0023167
brm	FBgn0000212
bcd	FBgn0000166
Med	FBgn0011655
Apc2	FBgn0026598
Hsp67Ba	FBgn0001227
CG10493	FBgn0032749
smi35A	FBgn0016930
pdm2	FBgn0004394
nct	FBgn0039234
CG6206	FBgn0027611
H	FBgn0001169
Pcl	FBgn0003044
trbl	FBgn0028978
CG9134	FBgn0035199
Prat	FBgn0004901
Fen1	FBgn0025832
Sur-8	FBgn0038504
abd-A	FBgn0000014
Roc1a	FBgn0025638
CG5480	FBgn0039446
CG14509	FBgn0039647
dan	FBgn0039286
su(Hw)	FBgn0003567
Hem	FBgn0011771
Nat1	FBgn0031020
Cdc42	FBgn0010341
vap	FBgn0003969
EcR	FBgn0000546
Brd	FBgn0000216
nvy	FBgn0005636
salm	FBgn0004579
CG10373	FBgn0032704
usp	FBgn0003964
burs	FBgn0038901
ttv	FBgn0020245
bib	FBgn0000180
RpL14	FBgn0017579
CG11905	FBgn0036678
Ilp5	FBgn0044048
stai	FBgn0051641
Btk29A	FBgn0003502
Mnn1	FBgn0031885
CG32499	FBgn0052499
dsx	FBgn0000504
Gasp	FBgn0026077
Notum	FBgn0044028
CG4738	FBgn0032347
CG14550	FBgn0039405
CG7177	FBgn0037098
Pten	FBgn0026379
eIF-4E	FBgn0015218
Arr2	FBgn0000121
HLHmbeta	FBgn0002733
Rac1	FBgn0010333
shot	FBgn0013733
csul	FBgn0015925
Paip2	FBgn0038100
hh	FBgn0004644
drk	FBgn0004638
Tudor-SN	FBgn0035121
egh	FBgn0001404
CG14434	FBgn0029915
CG12454	FBgn0040870
osa	FBgn0003013
Cby	FBgn0067317
Corp	FBgn0030028
mus209	FBgn0005655
wgn	FBgn0030941
e(y)2	FBgn0000618
spin	FBgn0086676
tws	FBgn0004889
LBR	FBgn0034657
Dph5	FBgn0024558
Edg91	FBgn0004554
mus308	FBgn0002905
Doa	FBgn0053553
fz4	FBgn0027342
coro	FBgn0033109
zf30C	FBgn0022720
