gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
CG8389,FBgn0034063,CG8389-PA-1092,12,9,0,0,5.05058246845382e-07,2.61973785743222e-05,-34.0779546244126,-31.8761992388025
ry,FBgn0003308,ry-PA-3669,10,11,0,0,5.05058246845382e-07,2.61973785743222e-05,-34.0779840740608,-31.8761403395062
RpII215,FBgn0003277,RpII215-PA-5484,1625,1759,1705,1590,4.98631767098769e-07,2.61973785743222e-05,-10.9534319625272,-0.290735472300667
CG7408,FBgn0036765,CG7408-PB-1174,0,0,11,13,5.05058246845382e-07,2.61973785743222e-05,-34.1078262232792,31.8164560410693
Nipsnap,FBgn0030724,Nipsnap-PA-555,476,442,428,390,4.99423466695843e-07,2.61973785743222e-05,-12.8990980273516,-0.419529993083881
CG10217,FBgn0039113,CG10217-PA-1701,1067,1083,1063,987,4.96317250483396e-07,2.61973785743222e-05,-11.622668192496,-0.321538123970705
MEP-1,FBgn0035357,MEP-1-PA-2389,138,132,264,222,4.98237836626556e-07,2.61973785743222e-05,-14.1577107754851,0.595090021787021
scrib,FBgn0263289,scrib-PA-4920,0,0,13,11,5.05058246845382e-07,2.61973785743222e-05,-34.1078554456875,31.8163975962528
CG7611,FBgn0037094,CG7611-PA-343,0,0,12,12,5.05058246845382e-07,2.61973785743222e-05,-34.1078408346278,31.8164268183721
jub,FBgn0030530,jub-PB-855,17,18,5,1,5.01873896308873e-07,2.61973785743222e-05,-18.8013178986009,-2.79674772922137
TpnC47D,FBgn0010423,TpnC47D-PA-390,9,12,0,0,5.05058246845382e-07,2.61973785743222e-05,-34.0779987984434,-31.8761108907409
CG11984,FBgn0037655,CG11984-PD-286,10,12,43,39,5.11103891467167e-07,2.64778715984807e-05,-17.2499460923836,1.64573605166982
CG10188,FBgn0032796,CG10188-PA-1837,2,6,23,26,5.12152707738064e-07,2.65089523344387e-05,-18.3510546458108,2.36245032865811
RanBP3,FBgn0039110,RanBP3-PA-921,6,7,34,28,5.12747137830187e-07,2.65164802679293e-05,-17.8311313579766,2.00132544239634
Bj1,FBgn0002638,Bj1-PA-1200,1189,1206,1800,1711,5.14030520785017e-07,2.65595927353644e-05,-11.156608304163,0.29917148075991
Hsp83,FBgn0001233,Hsp83-PA-1794,131,130,237,235,5.27506140292488e-07,2.72320433858337e-05,-14.2030476963144,0.60237067197687
Pmi,FBgn0044419,Pmi-PC-341,24,28,5,11,5.33435482173847e-07,2.75140896997581e-05,-17.8081650036666,-1.952678558684
cact,FBgn0000250,cact-PA-1335,251,241,210,194,5.37583039982694e-07,2.77038212698935e-05,-13.8579743323356,-0.537012667790476
CG9372,FBgn0036891,CG9372-PA-1006,116,131,90,85,5.45110897596218e-07,2.80672706104947e-05,-14.958696114886,-0.749418274459994
CG6084,FBgn0086254,CG6084-PA-435,162,159,113,129,5.46164781679691e-07,2.80970380456787e-05,-14.5355638345671,-0.659787231181193
CG8258,FBgn0033342,CG8258-PA-1152,25,25,10,5,5.48045033040337e-07,2.81447335315619e-05,-17.8830636060264,-1.9894235557829
CG34417,FBgn0085446,CG34417-PC-2302,59,79,142,139,5.47926755774362e-07,2.81447335315619e-05,-15.0370361839205,0.773802209199262
Hem,FBgn0011771,Hem-PA-3337,282,312,267,234,5.51377057719244e-07,2.82794616756544e-05,-13.5671533619071,-0.498091602771421
inx2,FBgn0027108,inx2-PA-58,25,21,60,68,5.51626195440988e-07,2.82794616756544e-05,-16.3965192764232,1.22413955002754
Klp64D,FBgn0004380,Klp64D-PA-1924,23,24,7,6,5.52194692904158e-07,2.8284053923273e-05,-18.0309013747951,-2.10653358847835
capt,FBgn0261458,capt-PA-412,24,26,71,64,5.58153356144093e-07,2.8564489520934e-05,-16.2981105176763,1.18054068572132
Iswi,FBgn0011604,Iswi-PA-669,12,5,36,36,5.63565209120864e-07,2.88164797578009e-05,-17.5296513729319,1.83000062189029
arm,FBgn0000117,arm-PA-2127,55,61,115,132,5.64479007216507e-07,2.88382363392668e-05,-15.2551161514708,0.838353180200746
fj,FBgn0000658,fj-PA-1149,53,76,143,151,5.68939366628108e-07,2.90409862699419e-05,-15.0532865191706,0.938050352988062
CG14767,FBgn0040777,CG14767-PA-999,24,13,53,66,5.72683115668024e-07,2.92068388990692e-05,-16.6052911270421,1.43305332785591
CSN5,FBgn0027053,CSN5-PA-351,77,88,39,53,5.74460753853173e-07,2.9272220190734e-05,-15.7131404434314,-1.09356732512963
ERp60,FBgn0033663,ERp60-PA-132,147,131,260,305,5.99184740724173e-07,3.05057348428347e-05,-14.0264218213051,0.77159652993621
CG11660,FBgn0036187,CG11660-PA-1002,36,38,14,16,6.01580937882438e-07,3.06013497239113e-05,-17.1002224256771,-1.5548919997262
Inos,FBgn0025885,Inos-PA-1221,57,69,165,124,6.02310404460371e-07,3.06120893860762e-05,-15.0834500921965,0.944210737946054
Pngl,FBgn0033050,Pngl-PA-1523,42,36,17,17,6.06620008557611e-07,3.08046126099703e-05,-16.9719179771142,-1.45041233150323
CG16974,FBgn0032479,CG16974-PA-2032,12,5,42,31,6.11454263326152e-07,3.10234242985532e-05,-17.5197998065486,1.84866272398099
pcm,FBgn0020261,pcm-PA-4347,595,623,898,950,6.35156546868868e-07,3.21983479356065e-05,-12.107054578275,0.349793604593251
mof,FBgn0014340,mof-PA-2304,43,34,17,13,6.36489910346116e-07,3.22382685465016e-05,-17.0713239275627,-1.61332006662042
CG6665,FBgn0034172,CG6665-PC-984,715,695,668,643,6.40990314812223e-07,3.24383941835306e-05,-12.2492220833324,-0.357813125960435
CG6697,FBgn0027526,CG6697-PA-753,248,273,237,195,6.43653316170809e-07,3.2517431605146e-05,-13.7686822183676,-0.522860910704631
CG13516,FBgn0040658,CG13516-PA-18,360,319,258,239,6.43454145623193e-07,3.2517431605146e-05,-13.4755728657839,-0.70447453285648
egg,FBgn0086908,egg-PA-2356,53,50,123,101,6.4763353130983e-07,3.26902800945817e-05,-15.4115618314471,0.8681762607507
scra,FBgn0261385,scra-PA-1353,62,58,32,34,6.4818175337389e-07,3.26902800945817e-05,-16.1826982667164,-1.11491349292252
Wnt2,FBgn0004360,Wnt2-PA-754,40,51,108,96,6.61697074924184e-07,3.33434350263417e-05,-15.5684174528656,0.912281469752513
CG6230,FBgn0027582,CG6230-PA-2160,0,0,15,9,6.68940050724968e-07,3.35652179402847e-05,-34.1080739381237,31.8159606113804
epsilonCOP,FBgn0027496,epsilonCOP-PA-78,0,0,9,14,6.68940050724968e-07,3.35652179402847e-05,-34.1383160406819,31.7554764062638
CG5694,FBgn0032197,CG5694-PA-30,0,0,8,15,6.68940050724968e-07,3.35652179402847e-05,-34.138232436206,31.7556436152158
D19A,FBgn0022935,D19A-PA-1992,0,0,10,14,6.68940050724968e-07,3.35652179402847e-05,-34.1076572409859,31.8167940056559
CG6443,FBgn0032290,CG6443-PA-243,0,0,8,15,6.68940050724968e-07,3.35652179402847e-05,-34.138232436206,31.7556436152158
CG31522,FBgn0051522,CG31522-PA-949,10,13,53,35,6.72674011945364e-07,3.37218995400607e-05,-17.1675911287532,1.68256464097038
nej,FBgn0261617,nej-PB-9303,3,0,19,17,6.73204638791215e-07,3.37218995400607e-05,-19.2809527155182,3.33252453584785
CG7044,FBgn0038854,CG7044-PA-2259,42,39,19,17,6.78177158811945e-07,3.39421920721321e-05,-16.9034983249726,-1.42238424524339
CG3165,FBgn0031484,CG3165-PA-930,221,188,151,132,6.83434307003336e-07,3.41763448797654e-05,-14.2475875240263,-0.785974675603809
Ef2b,FBgn0000559,Ef2b-PA-1087,345,368,559,570,6.84866155844908e-07,3.42189724466062e-05,-12.8490003679934,0.411110899587208
CG31028,FBgn0051028,CG31028-PC-2989,373,406,352,332,6.86557745064417e-07,3.42744947658616e-05,-13.1468677588805,-0.439885711655921
rtv,FBgn0261277,rtv-PA-408,170,186,316,294,6.90702640227762e-07,3.44256083945439e-05,-13.7943191809305,0.524559572340994
CG7277,FBgn0031713,CG7277-PA-96,12,14,46,42,6.90750549418106e-07,3.44256083945439e-05,-17.0785006903395,1.50660814547069
CG10616,FBgn0036286,CG10616-PA-1404,77,76,47,46,6.91886250059838e-07,3.44350750746835e-05,-15.7601016250995,-0.97064778330798
Acox57D-p,FBgn0034628,Acox57D-p-PA-1479,1,4,16,27,6.92106642853624e-07,3.44350750746835e-05,-18.783971942958,2.85315923936813
CG14543,FBgn0039404,CG14543-PA-141,35,34,86,82,6.96582480680307e-07,3.46285927138195e-05,-15.907975501407,1.03137636561338
CG10973,FBgn0036306,CG10973-PA-720,235,183,137,121,7.00234177029911e-07,3.47808494760576e-05,-14.297970744985,-0.952246582080709
hh,FBgn0004644,hh-PA-1248,35,35,84,99,7.07669893149705e-07,3.51206458400296e-05,-15.8353256245248,1.13501449879488
CG8818,FBgn0033751,CG8818-PA-714,281,297,456,477,7.10691862846853e-07,3.52114429832294e-05,-13.1379019984256,0.438884985457761
RpL18A,FBgn0010409,RpL18A-PA-276,2038,2152,2127,1995,7.10190353845705e-07,3.52114429832294e-05,-10.6376597442806,-0.276076754614122
ATPsyn-Cf6,FBgn0016119,ATPsyn-Cf6-PA-252,1058,1061,1018,1007,7.11972394853816e-07,3.52453191075245e-05,-11.6417142580678,-0.317905724638917
MCPH1,FBgn0260959,MCPH1-PC-2340,392,373,615,588,7.14951271118877e-07,3.53631425207192e-05,-12.7523654670783,0.400334913434031
eIF2B-gamma,FBgn0034029,eIF2B-gamma-PA-1347,98,116,76,70,7.16067067788084e-07,3.5388693631321e-05,-15.192876332292,-0.803875392474427
CG17528,FBgn0261387,CG17528-PA-774,51,50,21,30,7.23268662433351e-07,3.57147162759104e-05,-16.4929973904245,-1.23805908233223
Spindly,FBgn0031549,Spindly-PB-1236,552,555,500,509,7.30572501328054e-07,3.60452387497345e-05,-12.612594458996,-0.386001415873146
CG8176,FBgn0037702,CG8176-PA-1644,8,13,47,36,7.45366378955777e-07,3.6744447085451e-05,-17.2752569665275,1.73006967544435
CG7379,FBgn0038546,CG7379-PA-610,101,109,249,192,7.469722887784e-07,3.67929019438488e-05,-14.4099896409906,0.816379702224344
Pros26.4,FBgn0015282,Pros26.4-PA-1149,213,228,167,189,7.50508907293253e-07,3.68876237859547e-05,-14.0280781092948,-0.560835816741702
CG16798,FBgn0032856,CG16798-PA-1032,1,1,14,20,7.51897509680117e-07,3.68876237859547e-05,-19.6144053506108,3.83562787772896
CG11876,FBgn0039635,CG11876-PA-384,92,91,177,173,7.52018338553447e-07,3.68876237859547e-05,-14.6749021199645,0.683111960083525
Mlc1,FBgn0002772,Mlc1-PA-297,10,20,1,3,7.51897509680117e-07,3.68876237859547e-05,-19.2052595650872,-3.15830730163305
spdo,FBgn0260440,spdo-PA-1617,19,11,4,0,7.51897509680117e-07,3.68876237859547e-05,-19.2047823104282,-3.16032162355424
CG15087,FBgn0034380,CG15087-PA-982,39,33,92,80,7.53928735818281e-07,3.69506417261046e-05,-15.8603191312073,1.00374271542726
OstStt3,FBgn0011336,OstStt3-PA-2182,193,212,156,166,7.59433502657756e-07,3.71895719734343e-05,-14.1620227934488,-0.582892200268352
Tfb1,FBgn0033929,Tfb1-PA-930,108,135,272,227,7.67195305448707e-07,3.75385421285748e-05,-14.2157454808578,0.785610350356406
Hsc70-3,FBgn0001218,Hsc70-3-PA-1396,0,2,11,20,7.71056347247194e-07,3.76962299302358e-05,-19.6810056408095,3.7027849199526
usp,FBgn0003964,usp-PA-687,16,11,51,41,7.76482426234218e-07,3.7898759610364e-05,-17.0192018856504,1.5161040223043
Pep,FBgn0004401,Pep-PB-768,105,107,191,203,7.76273027179473e-07,3.7898759610364e-05,-14.4832840243055,0.641973263861559
htt,FBgn0027655,htt-PA-9832,9,9,40,33,7.83711775840565e-07,3.82200248204724e-05,-17.4785717914634,1.7674414234484
blue,FBgn0041161,blue-PA-3852,17,9,43,50,7.95232881954057e-07,3.87498874112564e-05,-17.0379441279452,1.58625429289836
kuz,FBgn0259984,kuz-PA-2941,5,2,25,21,7.96887335531045e-07,3.87984932084027e-05,-18.4929503906798,2.46374207989171
p16-ARC,FBgn0031437,p16-ARC-PA-368,7,6,35,26,8.10868858297686e-07,3.94466993684883e-05,-17.8428677463204,1.97779353288929
Mlc-c,FBgn0004687,Mlc-c-PA-426,45,41,25,12,8.40457213575195e-07,4.08524461887439e-05,-16.8408369155,-1.47058154515354
Pros25,FBgn0086134,Pros25-PA-334,0,2,19,14,8.41895736353384e-07,4.08887157874656e-05,-19.636258989387,3.79198620191062
CG14798,FBgn0029588,CG14798-PA-405,165,156,121,93,8.46725519646575e-07,4.10894952664646e-05,-14.6247462405377,-0.839330854136341
CG8202,FBgn0037622,CG8202-PA-1469,39,34,104,83,8.49267200434164e-07,4.11790002653866e-05,-15.7903010336195,1.1032361466594
Adar,FBgn0026086,Adar-PA-501,4,4,25,23,8.53216617001439e-07,4.13365602681468e-05,-18.3659349118484,2.33257123882721
mus304,FBgn0002901,mus304-PA-1807,1,0,15,12,8.62010788468694e-07,4.16942122402818e-05,-20.2809765511882,4.50246248954425
mars,FBgn0033845,mars-PA-2148,11,12,1,1,8.62010788468694e-07,4.16942122402818e-05,-19.8966326293439,-3.77592774563612
e(y)1,FBgn0000617,e(y)1-PA-196,91,96,221,177,8.67419061918574e-07,4.19214688697113e-05,-14.5674105666147,0.835967651986738
Nup50,FBgn0033264,Nup50-PA-1560,414,461,424,357,8.6867418100135e-07,4.19478003120014e-05,-12.9676720998306,-0.416577080868096
CG2811,FBgn0035082,CG2811-PA-240,9,15,44,40,8.91004669005223e-07,4.2990975279502e-05,-17.1698267261591,1.5550293811744
SNF4Agamma,FBgn0025803,SNF4Agamma-PA-1887,4,6,27,28,8.97774300587987e-07,4.32469450604611e-05,-18.1067641167973,2.20711464417141
Brd8,FBgn0039654,Brd8-PA-2394,6,4,29,26,8.97774300587987e-07,4.32469450604611e-05,-18.1067632874803,2.20699786062243
CG5384,FBgn0032216,CG5384-PA-816,311,335,512,518,9.1952040052521e-07,4.42583828966731e-05,-12.9864284558546,0.421048701838176
Cdk5,FBgn0013762,Cdk5-PA-297,38,57,110,137,9.23348316354255e-07,4.4406437188314e-05,-15.3991111095732,1.13020617847841
Srp14,FBgn0038808,Srp14-PB-243,71,60,36,40,9.31537495168115e-07,4.47638253780623e-05,-16.0175995514243,-1.03798178128496
CG5792,FBgn0032455,CG5792-PD-3100,73,63,169,135,9.68491718000042e-07,4.65017755135337e-05,-14.99095356965,0.905980985813906
Imp,FBgn0262735,Imp-PA-1356,20,19,63,50,9.8252928972239e-07,4.70992003185267e-05,-16.605681061932,1.28222673967693
Sry-delta,FBgn0003512,Sry-delta-PA-1188,239,241,211,185,9.82072872358059e-07,4.70992003185267e-05,-13.890349486379,-0.530223575786417
Ptp69D,FBgn0014007,Ptp69D-PA-1449,0,0,10,12,1.00486328755716e-06,4.79363619035143e-05,-34.1705919458171,31.6909245959935
CG2926,FBgn0037344,CG2926-PA-5361,0,0,10,12,1.00486328755716e-06,4.79363619035143e-05,-34.1705919458171,31.6909245959935
MED17,FBgn0038578,MED17-PA-1389,10,10,0,0,1.00486328755716e-06,4.79363619035143e-05,-34.1131715259137,-31.8057654358003
CG5585,FBgn0036973,CG5585-PA-1297,9,11,0,0,1.00486328755716e-06,4.79363619035143e-05,-34.1131862577338,-31.8057359721601
CG17803,FBgn0038547,CG17803-PA-286,10,10,0,0,1.00486328755716e-06,4.79363619035143e-05,-34.1131715259137,-31.8057654358003
mod(mdg4),FBgn0002781,mod(mdg4)-PA-1345,0,0,12,10,1.00486328755716e-06,4.79363619035143e-05,-34.170621197135,31.6908660933577
CG4390,FBgn0038771,CG4390-PA-175,54,60,124,162,1.00586391195773e-06,4.79453679680383e-05,-15.1608221056644,1.07776185863981
Pbp95,FBgn0037540,Pbp95-PA-2044,75,62,43,30,1.01755336633583e-06,4.84634408944043e-05,-16.0143996255764,-1.16243043503185
CG14442,FBgn0029893,CG14442-PA-1474,10,6,32,35,1.03111922679351e-06,4.90699752586393e-05,-17.6253022131745,1.81371369675974
eIF-3p40,FBgn0022023,eIF-3p40-PA-22,79,76,156,148,1.0339157036609e-06,4.9163440923354e-05,-14.8963527038091,0.719320666009119
Letm1,FBgn0019886,Letm1-PA-1344,65,70,138,135,1.0393064817265e-06,4.93800178582493e-05,-15.0736222786946,0.763632028941383
Atg4,FBgn0031298,Atg4-PA-1095,92,100,188,174,1.06570112951906e-06,5.05933901182769e-05,-14.6160745238014,0.662481683178977
CG31751,FBgn0086909,CG31751-PA-33,19,17,3,4,1.06763694710533e-06,5.06445805800373e-05,-18.6697416176976,-2.61496744026995
CG4942,FBgn0035960,CG4942-PA-750,78,79,52,46,1.06959753807629e-06,5.06968630848393e-05,-15.7037574681188,-0.932372158716027
RhoGAP71E,FBgn0036518,RhoGAP71E-PA-863,12,7,37,37,1.07187273703445e-06,5.07639615908427e-05,-17.4296690630577,1.70909385788176
CG10933,FBgn0034264,CG10933-PA-96,76,70,159,133,1.07479556145364e-06,5.08615995739817e-05,-14.9686521623225,0.747242663437454
CG17652,FBgn0031361,CG17652-PA-722,101,46,23,19,1.09462244161471e-06,5.17583764266468e-05,-16.3583238390126,-2.07025776785843
gp210,FBgn0033039,gp210-PA-5035,71,48,29,27,1.09652819465284e-06,5.1807009695846e-05,-16.3061086182985,-1.34248138950248
Cenp-C,FBgn0086697,Cenp-C-PA-4152,174,173,135,135,1.09861428354417e-06,5.18640786231429e-05,-14.4005186334855,-0.614381697062395
Ranbp9,FBgn0037894,Ranbp9-PA-2553,107,120,261,207,1.12979234662753e-06,5.32933517628825e-05,-14.3109973252397,0.790242036782663
pcs,FBgn0033988,pcs-PB-436,54,48,107,133,1.13305764053267e-06,5.34047231720497e-05,-15.3676728842838,0.983135466336145
Megalin,FBgn0261260,Megalin-PA-14133,8,14,39,41,1.13992591222232e-06,5.36856016938003e-05,-17.267745135001,1.6102557008833
CG7168,FBgn0038586,CG7168-PA-624,85,96,55,63,1.15839862302601e-06,5.4512116237984e-05,-15.4671424461654,-0.869332335911964
CG1703,FBgn0030321,CG1703-PA-1126,33,50,116,89,1.16245204248764e-06,5.46342411844626e-05,-15.6323288627904,1.05190757873468
CG7757,FBgn0036915,CG7757-PA-1255,16,36,5,8,1.16284400367214e-06,5.46342411844626e-05,-17.9594553120972,-2.24758235970925
CG5630,FBgn0038842,CG5630-PA-213,28,20,62,85,1.17831837121389e-06,5.53172705621222e-05,-16.2643268925361,1.36351522186349
Atu,FBgn0019637,Atu-PA-1581,403,447,678,639,1.18730240247863e-06,5.56947619424803e-05,-12.6114225681705,0.37951571611481
CG6178,FBgn0039156,CG6178-PA-1188,30,32,10,14,1.19133486144462e-06,5.57952848907187e-05,-17.3888030344154,-1.62153189010802
sec63,FBgn0035771,sec63-PA-1431,11,7,34,38,1.19133486144462e-06,5.57952848907187e-05,-17.4884137430182,1.74763954540572
lola,FBgn0005630,lola-PX-1554,0,1,16,11,1.20451134272581e-06,5.63676948325681e-05,-20.2811939440441,4.50223372034818
CG9147,FBgn0031774,CG9147-PA-885,111,113,72,85,1.20846899499042e-06,5.65081250246591e-05,-15.1072935459032,-0.764920987507321
Tango9,FBgn0260744,Tango9-PA-846,16,21,2,6,1.22219988195775e-06,5.71049688517885e-05,-18.5536836480696,-2.46170426911124
bic,FBgn0000181,bic-PA-262,1773,1879,1771,1818,1.2277426399158e-06,5.73185967020926e-05,-10.8362536708833,-0.276679852605818
CG32649,FBgn0052649,CG32649-PA-1932,24,41,12,12,1.23478076715353e-06,5.76016449814798e-05,-17.3553128721325,-1.68856154737785
CG10949,FBgn0032858,CG10949-PA-351,40,34,82,91,1.24045114166468e-06,5.78204921266242e-05,-15.8362299089475,0.972863456269613
Argk,FBgn0000116,Argk-PA-886,529,616,1000,1069,1.24389268080445e-06,5.79351844975942e-05,-12.0704386385716,0.60386140952554
fzy,FBgn0001086,fzy-PA-1333,216,248,204,178,1.27659498205036e-06,5.94114629235068e-05,-13.9409534280305,-0.532880989992033
RpII215,FBgn0003277,RpII215-PA-4503,59,54,117,120,1.28106922044661e-06,5.95727448985323e-05,-15.3038454204832,0.816190758653061
nesd,FBgn0032848,nesd-PA-1478,732,831,718,754,1.28959333548919e-06,5.98817643327374e-05,-12.0915752501627,-0.337793274282437
mth,FBgn0023000,mth-PA-1161,293,329,264,271,1.28974235888858e-06,5.98817643327374e-05,-13.486353921411,-0.469277301609225
CG8939,FBgn0030720,CG8939-PA-2101,0,0,15,7,1.29791474004149e-06,6.00722952330487e-05,-34.1709261824764,31.6902561226749
r2d2,FBgn0031951,r2d2-PA-907,14,6,0,0,1.29791474004149e-06,6.00722952330487e-05,-34.1128177208498,-31.8064730459281
Ip259,FBgn0025366,Ip259-PA-431,12,8,0,0,1.29791474004149e-06,6.00722952330487e-05,-34.1129874195236,-31.8061336485805
CG10144,FBgn0035704,CG10144-PA-3406,15,5,0,0,1.29791474004149e-06,6.00722952330487e-05,-34.1127328582496,-31.8066427711286
lola,FBgn0005630,lola-PN-2518,65,54,24,37,1.29910675349339e-06,6.00803810867756e-05,-16.2446497118268,-1.21626885741063
CG33095,FBgn0053095,CG33095-PA-795,105,116,74,81,1.30034629300253e-06,6.00906505259336e-05,-15.126369929173,-0.763926306606035
dgt4,FBgn0026085,dgt4-PA-504,108,109,76,75,1.30165005382964e-06,6.0103869334692e-05,-15.1583943745538,-0.775538459411329
CG4497,FBgn0031895,CG4497-PA-505,1,1,14,19,1.32547001515101e-06,6.11559438709284e-05,-19.6359804482306,3.79247768248944
SmF,FBgn0000426,SmF-PA-228,877,1009,914,884,1.32987343358161e-06,6.1311214083109e-05,-11.8120943766934,-0.320544678700449
Rbp2,FBgn0262734,Rbp2-PA-372,2,5,24,21,1.33897434195879e-06,6.16826417218426e-05,-18.5088422313137,2.43213632750575
CG30410,FBgn0050410,CG30410-PB-666,24,26,5,11,1.3487187364107e-06,6.20831107832761e-05,-17.8364425717728,-1.89612342247167
boi,FBgn0040388,boi-PA-48,3,7,24,32,1.36223324599581e-06,6.26563637398916e-05,-18.0935844736431,2.23408324510395
Atg1,FBgn0260945,Atg1-PA-2455,4742,4981,4765,5017,1.36868273054207e-06,6.29040192220648e-05,-9.40634204663262,-0.242413655675378
CG12582,FBgn0037215,CG12582-PA-2632,943,988,828,697,1.37953082518853e-06,6.33532904152289e-05,-11.9143761439374,-0.59443423651214
Ance,FBgn0012037,Ance-PA-1711,16,10,1,2,1.39347165442702e-06,6.39437831912594e-05,-19.5153893491554,-3.3683024494019
Axn,FBgn0026597,Axn-PA-1749,43,57,148,106,1.39543630694251e-06,6.39842215958156e-05,-15.3440299348773,1.09121523858033
lin,FBgn0002552,lin-PA-2415,62,57,118,129,1.39769875927312e-06,6.40382415245556e-05,-15.2366595444862,0.801282020926424
yin,FBgn0015565,yin-PA-1230,2,9,28,28,1.40683454680532e-06,6.43569594618346e-05,-18.0250586367482,2.09566589282874
Prosalpha5,FBgn0016697,Prosalpha5-PA-318,5,6,28,28,1.40683454680532e-06,6.43569594618346e-05,-18.0250142448208,2.09557710897409
yemalpha,FBgn0005596,yemalpha-PA-2301,5,3,22,25,1.41692410660176e-06,6.47337819989084e-05,-18.3810709500279,2.30223988177824
R,FBgn0004636,R-PA-330,23,27,64,68,1.41726404762418e-06,6.47337819989084e-05,-16.3142599508341,1.14829988309836
CG11030,FBgn0031736,CG11030-PA-189,43,43,91,102,1.43292133903728e-06,6.53983527363705e-05,-15.6489356862029,0.91399450496627
Iswi,FBgn0011604,Iswi-PA-1509,163,163,298,264,1.441881319496e-06,6.57564687002278e-05,-13.916919618761,0.532978521421172
CG3921,FBgn0031571,CG3921-PA-5524,14,35,6,4,1.44324601731379e-06,6.57679192056463e-05,-18.1928058107127,-2.54097860081736
CG6597,FBgn0036967,CG6597-PA-156,4,6,25,29,1.44792926621852e-06,6.59304599879207e-05,-18.119978765298,2.18068534717015
Rop,FBgn0004574,Rop-PA-1558,121,131,248,204,1.45019284611598e-06,6.59826572464696e-05,-14.2599218354359,0.590169467293491
Nup50,FBgn0033264,Nup50-PA-1543,49,44,102,120,1.48452330199362e-06,6.74926691063428e-05,-15.4907769440746,1.00360321579937
Dhc64C,FBgn0261797,Dhc64C-PA-13716,369,395,347,329,1.50142840463052e-06,6.82087374774377e-05,-13.169334078631,-0.428859046944214
CG11247,FBgn0037120,CG11247-PA-1287,61,59,130,118,1.50515574316013e-06,6.83255095154117e-05,-15.2278807186527,0.794777752367859
Rpn1,FBgn0028695,Rpn1-PA-939,2,0,17,15,1.52972157039851e-06,6.92809022274505e-05,-19.6584046549142,3.74757595530403
ACXA,FBgn0040510,ACXA-PD-1337,0,2,16,16,1.52972157039851e-06,6.92809022274505e-05,-19.6584198302752,3.74766452013431
VhaAC45,FBgn0262515,VhaAC45-PA-431,2,0,18,14,1.52972157039851e-06,6.92809022274505e-05,-19.6584192081569,3.74754684881863
morgue,FBgn0027609,morgue-PA-334,1,3,14,24,1.53183418424291e-06,6.93234201172549e-05,-19.0340993127076,2.99658815833362
CG11456,FBgn0037031,CG11456-PA-1021,48,44,25,21,1.55487027632071e-06,7.0258246961705e-05,-16.6348282507349,-1.25250219999813
Hsc70Cb,FBgn0026418,Hsc70Cb-PA-1137,22,14,53,54,1.55487027632071e-06,7.0258246961705e-05,-16.7026277638872,1.31908486466906
CG9186,FBgn0035206,CG9186-PA-897,82,79,156,156,1.57016279094387e-06,7.08950107855986e-05,-14.8501661337264,0.702105930514143
CG8235,FBgn0033351,CG8235-PA-913,212,215,187,161,1.57518982453823e-06,7.10676552005952e-05,-14.0679754540495,-0.547831674320219
CG32576,FBgn0052576,CG32576-PA-258,68,73,37,48,1.59331629739848e-06,7.18305907570683e-05,-15.8838630937798,-0.982324722112435
CG1910,FBgn0022349,CG1910-PA-835,333,382,548,573,1.60033744681707e-06,7.20920891946015e-05,-12.8521856308096,0.397226838494739
CG4877,FBgn0036624,CG4877-PA-2874,159,194,302,297,1.60459397121869e-06,7.22287429513975e-05,-13.8135757181138,0.510946950431132
CG14476,FBgn0027588,CG14476-PA-853,1,0,12,14,1.65072446507882e-06,7.41921502729263e-05,-20.3081641097025,4.44808737251571
cerv,FBgn0030657,cerv-PA-376,0,1,13,13,1.65072446507882e-06,7.41921502729263e-05,-20.3081935784979,4.44808792241958
fj,FBgn0000658,fj-PA-1407,20,35,78,112,1.66100678487999e-06,7.45975199250511e-05,-15.9822777884029,1.54352780104211
CG12736,FBgn0033184,CG12736-PA-1242,53,50,111,109,1.66877793797347e-06,7.48895801374143e-05,-15.4244269925675,0.842445938509906
Ef2b,FBgn0000559,Ef2b-PA-828,275,283,470,426,1.69496264775918e-06,7.60069127193331e-05,-13.1927825225046,0.430556891686097
CG10543,FBgn0034570,CG10543-PA-4623,787,761,759,704,1.70014560216808e-06,7.61814863223386e-05,-12.1028222729167,-0.334549131502932
CG10635,FBgn0035603,CG10635-PA-270,447,471,404,425,1.70595079167796e-06,7.63836556898537e-05,-12.8894481673661,-0.399047411267948
eIF2B-epsilon,FBgn0023512,eIF2B-epsilon-PA-1611,171,168,143,122,1.71708255107538e-06,7.682383431925e-05,-14.4309531701248,-0.607997393932938
inx3,FBgn0028373,inx3-PA-1050,478,507,977,809,1.73855793759613e-06,7.77257794690022e-05,-12.2861782665021,0.604523065506947
Ef2b,FBgn0000559,Ef2b-PA-2298,10027,10869,8057,8993,1.74561814102435e-06,7.79823874225538e-05,-8.45339475508501,-0.543068823592221
Nipsnap,FBgn0030724,Nipsnap-PA-538,11,14,1,2,1.75067667890586e-06,7.80902290806813e-05,-19.5440111175051,-3.31121563479569
Esyt2,FBgn0039208,Esyt2-PA-1497,0,2,16,13,1.75067667890586e-06,7.80902290806813e-05,-19.7294516358297,3.60560090902535
