"fbgn","symbol","chrom","start","stop","y","sig.tally","sig.expression.tally","sig.genotype.effect.tally","sig.interaction.effect.tally","dge.genotype.q","dge.interaction.q","illumina.genotype.pq","illumina.interaction.pq","dgrc.genotype.q","dgrc.interaction.q","min.deletion.q","min.deletion.interaction.q","binding.p","binding.interaction.p","max.bcshort.freq","inconsistent.expression.effects"
"FBgn0263133","ico","2L",7220272,7223079,0.6,5,1,2,1,1.25415626167977e-05,NA,NA,NA,NA,NA,1.98242055734988e-10,0.0056749181533681,0.019,0.141,0.985185185185185,0
"FBgn0004009","wg","2L",7307161,7316255,0.2,5,1,2,1,0.0399223501108863,NA,0.445812593231963,0.169084389858132,0.355275380486709,0.301939880973395,1.98242055734988e-10,0.0056749181533681,0.01,0.093,0.987654320987654,0
"FBgn0031902","Wnt6","2L",7334801,7352542,0.3,5,2,3,1,0.024110349488572,NA,0.00509307401674923,0.123474842475413,0.0574916855462999,0.228619646504866,1.98242055734988e-10,0.0056749181533681,0.633,0.484,0.99851411589896,0
"FBgn0029123","SoxN","2L",8825625,8829670,0.7,5,0,1,1,0.573216705281624,NA,NA,NA,0.252110878274948,0.610531924653635,0.046450237623926,0.00389155053376256,0.023,0.005,0.954935622317597,NA
"FBgn0032078","C1GalTA","2L",8943454,8951200,0.1,5,1,2,1,1.22834403236575e-05,NA,NA,NA,0.240808296301162,0.417996429000358,0.046450237623926,0.00389155053376256,0.115,0.028,0.98224043715847,0
"FBgn0040070","Trx-2","2L",9613165,9616048,0.9,5,0,1,1,0.573216705281624,NA,0.55075620709957,0.067751035502777,0.0561382466246496,0.31068297375894,0.00522298236053859,0.0209593000412958,0.003,0.002,0.9800796812749,NA
"FBgn0010520","Bka","2L",9895289,9896104,0.1,5,1,2,0,0.488810157420622,0.288295219786406,NA,NA,0.0359430712081048,0.576435716843863,0.00265993805087286,0.223963094008791,0.029,0.005,0.986928104575163,0
"FBgn0032175","CG13131","2L",10013271,10017463,0.7,5,0,1,1,1,NA,NA,NA,0.31402075311885,0.43228056462321,0.0329350028389964,5.47423462424081e-09,0.029,0.041,0.948484848484848,NA
"FBgn0032192","CG5731","2L",10207085,10209737,0.9,5,2,2,2,0.0187737525585503,0.0338592960603176,NA,NA,0.259462823071739,0.55839664905952,0.0329350028389964,5.47423462424081e-09,0.771,0.972,1,0
"FBgn0032195","CG4908","2L",10222658,10224442,0.5,5,2,2,2,0.0146075293321992,0.000732637921331677,NA,NA,0.458046395901584,0.729209098553451,0.0329350028389964,5.47423462424081e-09,0.505,0.67,1,0
"FBgn0024248","chico","2L",10242512,10247064,0.2,5,2,2,2,2.41838815530966e-08,NA,0.226509292022975,0.0271271265286215,0.626286820309712,0.628615857267175,0.0329350028389964,5.47423462424081e-09,0.831,0.622,0.994505494505495,0
"FBgn0011305","Rsf1","2L",10262426,10263582,0.8,5,2,3,1,2.9285460258361e-11,NA,NA,NA,0.0354739178132197,0.276137082961672,0.0329350028389964,5.47423462424081e-09,0.626,0.444,1,0
"FBgn0032702","CG10376","2L",18700605,18703118,0.7,5,2,2,2,0.151025138293012,NA,0.0108241439038555,0.035937040685045,0.356147098839413,0.233206213996462,0.0017297057235809,0.00369888609083909,0.103,0.045,0.456521739130435,0
"FBgn0033307","CG14752","2R",4478001,4479452,0.5,5,0,1,1,NA,NA,NA,NA,0.296712920105575,0.729209098553451,2.43026666167451e-06,3.65485085235541e-07,0.001,0.007,0.755707762557078,NA
"FBgn0033310","rgr","2R",4487938,4498743,0.9,5,0,1,1,0.702300227364633,NA,0.286356850477173,0.732900724658936,0.521382717504097,0.700941629328335,2.43026666167451e-06,3.65485085235541e-07,0.041,0.003,0.75886524822695,NA
"FBgn0004360","Wnt2","2R",5381674,5390695,0.1,5,4,4,1,1.88321496934631e-10,NA,2.74355976643443e-07,0.035733033206542,0.028969355508617,0.496382286727295,0.00424590057866584,0.0924071078575985,0.562,0.926,0.696969696969697,0
"FBgn0033518","Prx2540-2","2R",6306225,6307266,0.9,5,0,1,1,NA,NA,NA,NA,0.592178295078073,0.366597945923947,6.89380977038157e-21,1.6110318582729e-06,0.04,0.012,0.717086834733894,NA
"FBgn0033520","Prx2540-1","2R",6311941,6312976,0.3,5,0,1,1,NA,NA,NA,NA,NA,NA,6.89380977038157e-21,1.6110318582729e-06,0.041,0.014,0.739884393063584,NA
"FBgn0033521","CG12896","2R",6314385,6315418,0.4,5,1,2,1,0.014523609344795,NA,NA,NA,NA,NA,6.89380977038157e-21,1.6110318582729e-06,0.094,0.021,0.736077481840194,0
"FBgn0001269","inv","2R",7361970,7394688,0.4,5,3,3,2,0.010654257069305,NA,0.036228733338298,0.00598494975580126,0.636278270580514,0.488357152862511,1.89892579559653e-21,0.00805585500011346,0.746,0.761,0.422360248447205,0
"FBgn0000996","dup","2R",11264124,11268465,0.9,5,1,2,1,0.00689869775860338,NA,NA,NA,0.254549447756368,0.591696693299406,8.66977750710519e-05,0.0306822106006004,0.036,0.033,0.616161616161616,0
"FBgn0010575","sbb","2R",14166570,14244766,0.5,5,3,3,2,0.000137970321897864,0.367988788208755,0.252356741986374,0.611803009880706,0.0216278916241092,0.0133667871105529,4.62529799417556e-15,0.00120935841634063,0.064,0.281,0.560344827586207,0
"FBgn0035146","CG13893","3L",599094,604001,0.4,5,1,1,1,0.00360322495007937,NA,NA,NA,0.543780461966681,0.647886593967233,0.207645894292514,0.00546959976713679,0.01,0.023,1,0
"FBgn0016715","Reg-2","3L",605165,606569,0.5,5,1,0,2,0.383264653901823,4.7563297298159e-17,NA,NA,0.236981060472204,0.514635293261181,0.207645894292514,0.00546959976713679,0.002,0.005,0.997630331753555,NA
"FBgn0028577","pUf68","3L",1496853,1502598,0.7,5,3,3,2,7.94472971782897e-08,NA,0.156764280541291,0.360182369964119,0.0216278916241092,0.00185761655921557,0.00691676564741603,6.27140510430695e-08,0.422,0.872,NA,0
"FBgn0035237","CG13917","3L",1576699,1600320,0.5,5,1,2,1,0.0399223501108863,NA,NA,NA,0.120000249448248,0.538767061366964,0.00691676564741603,6.27140510430695e-08,0.002,0.032,NA,0
"FBgn0262787","CG43168","3L",6268800,6270000,0.9,5,1,2,1,0.00513653539342783,NA,NA,NA,NA,NA,5.04786844963495e-10,0.00979537429115117,0.015,0.005,0.0152838427947598,0
"FBgn0042138","CG18815","3L",11621170,11623099,0.2,5,3,2,3,2.50611590179931e-07,0.015567902905557,NA,NA,0.537732347097823,0.0411599807912908,0.0355254706558432,2.29729492137684e-11,0.769,0.607,0.531746031746032,0
"FBgn0036397","CG8783","3L",13992480,13994980,0.5,5,1,2,1,6.43710297392779e-16,NA,NA,NA,0.324330139524023,0.64124497348646,2.19763719087128e-13,7.28111365093898e-05,0.024,0.008,0.546099290780142,0
"FBgn0260635","th","3L",16031505,16043755,0.4,5,1,2,1,0.000169629083393082,NA,NA,NA,NA,NA,3.19971975248085e-15,4.22979813435378e-06,0.049,0.003,0.448071216617211,0
"FBgn0040794","CG13056","3L",16326413,16326882,0.2,5,1,2,1,0.00202491699638601,NA,NA,NA,0.521699490586177,0.673532381362304,5.63093407509106e-10,1.07848162697548e-05,0.003,0.045,0.448598130841121,0
"FBgn0040512","zetaCOP","3L",16664764,16666655,0.6,5,1,2,1,0.0145094897453603,NA,NA,NA,0.255864162804143,0.320958691383601,2.97709141604518e-09,1.07848162697548e-05,0.028,0.007,0.450549450549451,0
"FBgn0036697","rogdi","3L",17042616,17048556,0.6,5,3,3,2,0.0446634261291305,NA,NA,NA,0.0189525340879912,0.000586257568420331,3.05068177962231e-07,1.31313054870258e-05,0.189,0.242,0.468646864686469,0
"FBgn0029088","disp","3R",1675416,1682033,0.5,5,3,3,2,0.000319771326117592,NA,0.0289323487219345,0.033759644775793,0.628110306315406,0.359781079176171,0.00136847231639496,2.69949849620864e-15,0.296,0.143,0.666666666666667,1
"FBgn0037410","Osi2","3R",2036721,2039214,0.5,5,1,2,1,0.014523609344795,NA,0.230947998806594,0.196527566910564,0.104280743413826,0.734547491655145,0.00136847231639496,2.69949849620864e-15,0.014,0.046,0.583333333333333,0
"FBgn0024833","AP-47","3R",5383437,5385245,0.6,5,2,3,1,5.10678630234715e-11,NA,0.500295977849099,0.140028181217057,0.041746629658052,0.489839897071274,3.04361233683155e-06,0.000691151487547491,0.93,0.992,0.876712328767123,1
"FBgn0037710","CG9393","3R",5387302,5389392,0.8,5,2,2,2,0.209841523198369,NA,NA,NA,0.0359430712081048,0.0390103780800523,3.04361233683155e-06,0.000691151487547491,0.289,0.163,0.906666666666667,0
"FBgn0037713","CG16790","3R",5394796,5395936,0.2,5,1,2,1,0.023772334094615,NA,NA,NA,0.602829318122885,0.497599375389148,3.04361233683155e-06,0.000691151487547491,0.104,0.024,0.93,0
"FBgn0037723","SpdS","3R",5457361,5459395,0.6,5,1,2,1,0.014523609344795,NA,NA,NA,0.0577690720369263,0.425127700184306,3.04361233683155e-06,7.4973706073482e-09,0.025,0.191,0.905940594059406,0
"FBgn0069242","eca","3R",5510191,5511253,0.7,5,1,2,1,0.00537852788622979,NA,0.59785069507754,0.32440444780048,0.0689160306123803,0.0827839148030818,3.04361233683155e-06,7.4973706073482e-09,0.032,0.079,1,0
"FBgn0002431","hyd","3R",5540345,5551333,0.7,5,2,3,1,0.00279769388738767,NA,0.0356006998540239,0.120319335129755,0.466995233804398,0.503676487654436,3.04361233683155e-06,7.4973706073482e-09,0.441,0.591,0.9,0
"FBgn0037873","SdhC","3R",7034856,7035571,0.9,5,2,2,2,0.0399223501108863,NA,NA,NA,0.391125816628856,0.0372219423989317,1.57232954186947e-05,5.90037326405717e-07,0.894,0.918,0.862745098039216,0
"FBgn0051374","sals","3R",7263269,7277513,0.8,5,0,1,1,0.383264653901823,1,NA,NA,0.255909170916453,0.576787511776879,1.57232954186947e-05,5.90037326405717e-07,0.003,0.049,0.961538461538462,NA
"FBgn0037906","PGRP-LB","3R",7278571,7286274,0.2,5,0,1,1,0.383264653901823,NA,NA,NA,0.581268320443228,0.564675538732536,1.57232954186947e-05,5.90037326405717e-07,0.001,0.031,0.961538461538462,NA
"FBgn0037934","CG6830","3R",7506691,7510062,0.1,5,0,1,1,1,NA,NA,NA,0.555957385438514,0.572583299256229,2.36865518422337e-12,0.000177176234904729,0.03,0.048,0.85472972972973,NA
"FBgn0038183","CG9286","3R",9606714,9607808,0.4,5,3,2,2,0.0399223501108863,0.0240023745014804,0.109840053848578,0.122769743507023,0.0498571540330539,0.655065319615367,0.0543177107999666,1.39801462321174e-06,0.083,0.031,0.698630136986301,1
"FBgn0038385","CG4221","3R",11746635,11758614,0.7,5,1,1,1,0.0399223501108863,NA,NA,NA,0.585341518184031,0.653983280205205,0.353759801182819,1.5832873246455e-05,0.035,0.015,1,0
"FBgn0038629","CG14304","3R",14418523,14447049,0.7,5,1,2,1,0.0154746731325243,NA,NA,NA,0.602131024510774,0.50623929634298,0.0229732082631332,0.000310441866805768,0.036,0.034,0.613013698630137,0
"FBgn0004876","cdi","3R",14870604,14920076,0.2,5,1,2,1,0.00951580131166762,0.429009623633739,NA,NA,0.332125311263591,0.0772333496489628,0.0229732082631332,1.18825112849176e-06,0.001,0.001,0.53525641025641,0
"FBgn0001197","His2Av","3R",22692653,22694630,0.3,5,1,2,1,1,NA,NA,NA,0.0353564486783156,0.397164920861725,0.00694365028415481,1.28973893174795e-05,0.025,0.015,0.141732283464567,0
"FBgn0004197","Ser","3R",22997818,23019716,0.4,5,1,2,1,0.091157403417523,NA,0.394212039220916,0.752794978011461,0.0480580355535919,0.448129557096658,0.00694365028415481,6.76781799357297e-15,0.015,0.005,0.0803782505910166,0
"FBgn0039685","Obp99b","3R",25541976,25542532,0.3,5,2,2,2,0.199188405325802,NA,NA,NA,0.000418682994634971,6.55636041874224e-05,0.000122936815929244,4.85421105614506e-12,0.066,0.03,0.0386473429951691,0
"FBgn0051005","qless","3R",27061751,27078326,0.7,5,2,2,1,0.383264653901823,NA,NA,NA,0.0353564486783156,0.003720593445288,0.0486305617167471,0.276301510488728,0.035,0.022,0.0456852791878173,0
"FBgn0051935","CG31935","2L",1595043,1611125,0.2,4,2,3,1,0.0399223501108863,NA,NA,NA,0.0407152688223489,0.243321165472566,5.6484155893945e-07,1.70427852979114e-07,0.318,0.253,0.0194029850746269,1
"FBgn0086698","frtz","2L",1711299,1715861,0.9,4,2,2,2,0.133744595812537,NA,0.00211599743373807,0.00145445213955483,NA,NA,5.6484155893945e-07,1.70427852979114e-07,0.07,0.051,0.00436681222707424,0
"FBgn0003557","Su(dx)","2L",2037802,2044373,0.6,4,2,2,2,0.0192956289657712,NA,0.119032014458863,0.0177035573940964,0.28795521863432,0.509307472171299,5.96553114834031e-08,2.33176207966426e-05,0.604,0.574,0.0187861271676301,0
"FBgn0031450","Hrs","2L",2739986,2743377,0.5,4,2,3,1,0.00833070918710241,NA,0.0422152224215754,0.0771937898996908,0.291376180234424,0.531934770280135,0.00459186710508867,0.0339897383457989,0.636,0.646,0,1
"FBgn0031452","Cwc25","2L",2745102,2746944,0.7,4,2,3,1,0.0128249287224053,NA,NA,NA,0.0354739178132197,0.412672588540884,0.00459186710508867,0.0339897383457989,0.516,0.521,0,0
"FBgn0026324","Taf10b","2L",2767281,2768166,0.6,4,1,2,1,0.00144037655316803,NA,NA,NA,0.162968926396828,0.66719781671399,0.00459186710508867,0.0339897383457989,0.083,0.02,0.013215859030837,0
"FBgn0031460","CG15399","2L",2770884,2771776,0.1,4,0,1,1,1,NA,NA,NA,0.631318350354428,0.746004609698153,0.00459186710508867,0.0339897383457989,0.046,0.028,0,NA
"FBgn0031564","CG2816","2L",3703659,3704253,0.7,4,1,2,1,0.000295174113264963,NA,NA,NA,0.328428710369494,0.676375573924561,0.028936425233088,0.00342017918786482,0.097,0.019,0.382581648522551,0
"FBgn0031649","hoe2","2L",4933047,4936582,0.7,4,0,0,1,1,NA,NA,NA,0.625299380024558,0.751171101160194,0.133611794108904,5.02793207294688e-09,0.043,0.047,0.735973597359736,NA
"FBgn0031650","CG14044","2L",4942748,4944305,0.9,4,0,0,1,0.835884850809433,NA,NA,NA,0.432540810082039,0.674459150223434,0.133611794108904,5.02793207294688e-09,0.039,0.011,0.700787401574803,NA
"FBgn0003716","tkv","2L",5218996,5271353,0.3,4,2,2,1,0.00113738891060617,NA,0.00194263415556202,0.114669605720823,0.209765861765777,0.0551475486326558,0.208509607293219,0.000364477864530835,0.014,0.141,NA,1
"FBgn0016076","vri","2L",5299647,5310996,0.3,4,2,3,1,0.00917347452086743,NA,0.0130085803430304,0.796060754042444,0.556589662224287,0.72183633821512,0.00550455502753744,0.000364477864530835,0.743,0.97,NA,1
"FBgn0031710","CG7371","2L",5521281,5523877,0.2,4,2,2,1,0.0002465695582443,0.02718716058719,NA,NA,0.211765571692341,0.59742360830418,0.00550455502753744,0.345565423918755,0.456,0.4,0.98868778280543,0
"FBgn0051989","Cap-D3","2L",5525905,5537108,0.4,4,1,2,1,0.024110349488572,NA,NA,NA,0.0554383243648583,0.0988021011057222,0.000210756292892041,0.0234766800438327,0.398,0.295,0.983922829581994,0
"FBgn0031713","CG7277","2L",5530620,5532195,0.7,4,1,2,1,3.44256083945439e-05,0.797884526547633,NA,NA,0.600801843528252,0.508510434041282,0.000210756292892041,0.0234766800438327,0.665,0.452,0.980861244019139,0
"FBgn0031717","Oscillin","2L",5547099,5549614,0.3,4,1,1,2,0.145753725646092,NA,NA,NA,0.33453626764126,0.0256708705049194,0.000210756292892041,0.0234766800438327,0.127,0.16,0.991071428571429,NA
"FBgn0001128","Gpdh","2L",5943682,5949092,0.1,4,1,1,0,0.0057582872632519,0.634438723990299,NA,NA,0.393058772644189,0.432868783806211,0.13096193712295,0.443312065696812,0.033,0.02,0.996996996996997,0
"FBgn0028420","Kr-h1","2L",6081808,6096498,0.8,4,1,2,1,6.18226510183493e-07,0.504370371898148,NA,NA,0.396677168585708,0.606759533675842,0.0010324308234163,0.00157838374174533,0.209,0.418,0.995098039215686,0
"FBgn0031779","CG9175","2L",6096698,6098964,0.9,4,1,2,1,0.00302996854963197,NA,NA,NA,0.140895897348052,0.415037846932078,0.0010324308234163,0.00157838374174533,0.199,0.342,0.99250936329588,0
"FBgn0051641","stai","2L",6100378,6124412,0.1,4,1,2,1,0.0128249287224053,NA,0.69350809457025,0.719409623700786,NA,NA,0.0010324308234163,0.00157838374174533,0.181,0.264,0.993127147766323,0
"FBgn0053531","Ddr","2L",6253123,6322251,0.5,4,1,1,2,0.383264653901823,NA,NA,NA,0.161781000158881,0.0390103780800523,0.0010324308234163,0.00157838374174533,0.478,0.481,0.995918367346939,NA
"FBgn0015623","Cpr","2L",6338772,6346282,0.3,4,0,0,1,0.183325372468187,NA,NA,NA,0.110711979716201,0.739092115767445,0.12525895346941,0.0198807557873799,0.018,0.01,0.99232245681382,NA
"FBgn0031801","CG9498","2L",6349393,6351028,0.5,4,0,0,1,1,NA,NA,NA,0.120424364579671,0.653686612651389,0.246149407777375,0.0198807557873799,0.029,0.005,0.992238033635188,NA
"FBgn0031802","ppk7","2L",6352324,6354331,0.6,4,0,0,1,0.383264653901823,NA,NA,NA,0.566276179157549,0.250493360212229,0.246149407777375,0.0198807557873799,0.024,0.006,0.99090909090909,NA
"FBgn0028990","Spn27A","2L",6671778,6673344,0.9,4,3,2,1,0.0177459015568622,NA,0.0339907722014026,0.0189254305618028,0.0815844097233748,0.426775532102629,0.0622073627530946,0.281402921070712,0.097,0.075,1,0
"FBgn0031875","CG3430","2L",6957010,6959104,0.3,4,2,2,1,0.00106313304747637,NA,0.917268413671353,0.00443068527666594,NA,NA,5.44507960501422e-06,0.428526128472578,0.656,0.523,1,0
"FBgn0031882","Rab30","2L",7030493,7032603,0.9,4,1,1,0,0.0231043050108354,NA,NA,NA,0.555508092476111,0.656600257229013,NA,NA,0.025,0.008,0.995594713656388,0
"FBgn0031886","Nuf2","2L",7064431,7065833,0.6,4,1,1,0,1.0395988819414e-06,NA,NA,NA,0.209663937321155,0.411526341485144,NA,NA,0.017,0.007,0.990131578947368,0
"FBgn0259111","Ndae1","2L",7224851,7240500,0.7,4,0,1,1,0.573216705281624,NA,NA,NA,NA,NA,1.98242055734988e-10,0.0056749181533681,0.054,0.047,0.986541049798116,NA
"FBgn0031900","CG13786","2L",7250719,7252772,0.8,4,0,1,1,1,NA,NA,NA,0.567951171621122,0.658025495260587,1.98242055734988e-10,0.0056749181533681,0.067,0.045,0.986870897155361,NA
"FBgn0010453","Wnt4","2L",7255460,7277168,0.9,4,1,2,1,0.383264653901823,NA,0.00663232925214608,0.993652744048368,0.586045619956022,0.55839664905952,1.98242055734988e-10,0.0056749181533681,0.69,0.487,0.99667221297837,0
"FBgn0031907","CG5171","2L",7395832,7404526,0.9,4,1,2,1,0.0251012413006523,0.862274979481372,NA,NA,0.462126052232565,0.327111002323772,1.98242055734988e-10,0.00229259383590038,0.263,0.376,0.994623655913978,0
"FBgn0031908","CG5177","2L",7405214,7408475,0.1,4,1,2,1,0.00484844544403673,0.45975497576723,NA,NA,0.537887776495555,0.43731163184828,1.98242055734988e-10,0.00229259383590038,0.908,0.867,0.994623655913978,0
"FBgn0028387","chm","2L",7412453,7422389,0.4,4,1,2,1,0.023772334094615,0.166843705358865,NA,NA,0.562422649054532,0.391725678486087,1.98242055734988e-10,0.00229259383590038,0.57,0.51,0.99009900990099,0
"FBgn0031914","CG5973","2L",7437506,7445269,0.9,4,1,2,1,0.0149373029386917,NA,NA,NA,0.374379274926883,0.457354647080769,0.00196940972719137,0.00229259383590038,0.46,0.404,0.992592592592593,0
"FBgn0031918","CG6055","2L",7466546,7472493,0.4,4,1,2,1,0.00482183295880528,NA,NA,NA,0.237286107248033,0.326104454792581,0.00196940972719137,0.00229259383590038,0.47,0.692,1,0
"FBgn0032050","CG13096","2L",8509251,8511844,0.1,4,2,2,0,7.23913603849853e-06,NA,NA,NA,0.0331086532167517,0.181568078812771,0.112917987950369,0.279655585376068,0.031,0.064,0.94776119402985,1
"FBgn0001114","Glt","2L",8672043,8676811,0.7,4,1,2,1,0.573216705281624,NA,NA,NA,0.0353564486783156,0.212744862282722,0.00444284545499684,0.0102865268954209,0.547,0.693,0.941176470588235,0
"FBgn0003209","raw","2L",8709880,8740660,0.8,4,1,2,1,0.00101756535540297,NA,0.470663407884163,0.268660199980921,0.0822027854145124,0.251966656920536,0.00444284545499684,0.0102865268954209,0.712,0.525,0.968058968058968,0
"FBgn0032068","CG9466","2L",8772948,8776257,0.3,4,1,2,1,7.94472971782897e-08,NA,NA,NA,0.343203629071016,0.260270239418235,0.00444284545499684,0.0102865268954209,0.776,0.604,0.979094076655052,0
"FBgn0085427","CG34398","2L",8898804,8933382,0.5,4,1,2,1,0.0399223501108863,NA,NA,NA,NA,NA,0.046450237623926,0.00389155053376256,0.345,0.338,0.978835978835979,0
"FBgn0032082","CG18088","2L",8967537,8970259,0.6,4,1,2,1,5.76677211233693e-18,NA,NA,NA,0.097144566278694,0.0758826319801474,0.046450237623926,0.00389155053376256,0.603,0.446,0.97136563876652,0
"FBgn0032084","CG13101","2L",8977882,8984870,0.8,4,1,2,1,0.00727174607645541,NA,NA,NA,0.626646444844242,0.262743098866501,0.046450237623926,0.00389155053376256,0.865,0.885,0.97003745318352,0
"FBgn0013746","alien","2L",8994669,8997375,0.4,4,1,2,1,0.0134519380585695,NA,NA,NA,0.604012230065733,0.178603970879768,2.82190793975609e-23,8.78749676471202e-08,0.625,0.71,0.96551724137931,0
"FBgn0040964","CG18661","2L",8997641,8998544,0.5,4,1,2,1,0.00482183295880528,NA,0.61195744402116,0.589761508689341,0.437307104451846,0.118712747771521,2.82190793975609e-23,8.78749676471202e-08,0.695,0.661,0.967032967032967,0
"FBgn0041092","tai","2L",9166802,9247187,0.1,4,1,2,1,0.00482183295880528,NA,NA,NA,0.297783066649307,0.5096968637018,2.82190793975609e-23,8.78749676471202e-08,0.173,0.091,0.98360655737705,0
