gene,llr.sam,llr.ore,llr.diff,gc,size,empirical.p,empirical.p.sam,empirical.p.ore,empirical.q.sam,empirical.q.ore,empirical.q
FBgn0013809,0.00180476,0.0017086,9.61600000000001e-05,0.466341895483,33870,0.905,0.716,0.733,0.999263237104939,0.998845986788526,0.999306912442396
FBgn0003392,2.72169e-05,0.000180355,0.0001531381,0.402302554488,34136,0.801,0.968,0.912,0.999263237104939,0.999491150442478,0.998516850418328
FBgn0053493,0.022552,0.166281,0.143729,0.404035433071,20320,0.077,0.322,0.129,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0035868,0.00386874,0.00372967,0.00013907,0.432542060383,21695,0.889,0.606,0.591,0.998558072487644,0.998581876332623,0.999306912442396
FBgn0261536,0.135592,0.142861,0.007269,0.425640585433,23299,0.395,0.184,0.163,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0020556,0.00230406,0.000847932,0.001456128,0.414851950493,51064,0.56,0.682,0.83,0.998773974595171,0.999132695756127,0.998516850418328
FBgn0261537,0.135592,0.142861,0.007269,0.425640585433,23299,0.395,0.184,0.163,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0261538,0.0521194,0.0337312,0.0183882,0.427594914664,22968,0.242,0.285,0.34,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0005632,0.0008985,0.00113834,0.00023984,0.462013662014,33670,0.832,0.814,0.794,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0259236,0.00184713,0.0018877,4.057e-05,0.395871904387,54553,0.961,0.76,0.768,0.999263237104939,0.999132695756127,0.999788439768263
FBgn0011211,0.0259466,0.047851,0.0219044,0.441229891022,23124,0.201,0.359,0.262,0.997872806401797,0.996831227892875,0.998516850418328
FBgn0044452,0.00565046,0.00548583,0.000164630000000001,0.471169561747,26309,0.844,0.515,0.506,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0004047,1.385,1.07388,0.31112,0.413930256221,21622,0.019,0.02,0.027,0.988123359580053,0.984784741144414,0.993993399339934
FBgn0039215,0.00553908,0.00549433,4.47499999999997e-05,0.486765495313,24217,0.92,0.505,0.511,0.998558072487644,0.997168459245821,0.999306912442396
FBgn0032620,0.00112523,0.00120405,7.88199999999998e-05,0.453726794126,21654,0.906,0.782,0.77,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0259246,0.00126036,0.00163722,0.00037686,0.44763164267,53687,0.757,0.761,0.723,0.999263237104939,0.998845986788526,0.998516850418328
FBgn0030993,0.0060561,0.0077538,0.0016977,0.453605921112,22158,0.544,0.538,0.491,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0038087,0.00326008,0.00393307,0.00067299,0.391203276632,27101,0.714,0.656,0.625,0.998773974595171,0.998845986788526,0.998516850418328
FBgn0000463,0.000689602,5.45738e-05,0.0006350282,0.413228462352,43482,0.713,0.827,0.956,0.999263237104939,0.999491150442478,0.998516850418328
FBgn0044872,0.032549,0.033517,0.000967999999999997,0.374726875455,21968,0.635,0.327,0.324,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0051515,0.0333748,0.0440352,0.0106604,0.448331303289,20525,0.356,0.375,0.309,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0037428,0.300412,0.325179,0.024767,0.404516787238,21564,0.202,0.094,0.078,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0012016,0.673808,0.86239,0.188582,0.444433384761,20093,0.045,0.047,0.034,0.992682926829268,0.984784741144414,0.998516850418328
FBgn0020496,1.10984,1.21809,0.10825,0.455427760234,34517,0.084,0.019,0.011,0.988123359580053,0.980854406130268,0.998516850418328
FBgn0261394,0.00103056,0.00174143,0.00071087,0.482253812841,21244,0.606,0.795,0.716,0.999263237104939,0.998845986788526,0.998516850418328
FBgn0039595,0.00454513,0.00709047,0.00254534,0.456461994648,27654,0.524,0.624,0.516,0.998558072487644,0.997489602053915,0.998516850418328
FBgn0083991,0.00518684,0.00540454,0.0002177,0.423162409826,25645,0.868,0.588,0.567,0.998558072487644,0.997780642923219,0.999306912442396
FBgn0050080,0.0521194,0.0337312,0.0183882,0.427594914664,22968,0.243,0.286,0.341,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0037624,0.00167603,0.000199372,0.001476658,0.436428317325,28110,0.55,0.727,0.882,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0261706,0.0591273,0.0262794,0.0328479,0.43386593552,21154,0.183,0.26,0.353,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0035533,0.00040337,0.00271723,0.00231386,0.404981789802,61504,0.443,0.875,0.643,0.999263237104939,0.998845986788526,0.998516850418328
FBgn0031100,0.0196458,0.0217752,0.0021294,0.457280100795,25398,0.525,0.416,0.396,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0038558,0.000160121,6.3075e-06,0.0001538135,0.432543082929,21006,0.875,0.909,0.968,0.999263237104939,0.999522676579926,0.999306912442396
FBgn0040356,5.63613e-05,0.000358427,0.0003020657,0.421893632244,20965,0.816,0.949,0.885,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0034972,0.00572418,0.00885678,0.0031326,0.458097293409,22242,0.487,0.572,0.464,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0261262,2.93409e-06,0.00041368,0.00041074591,0.428279045462,68892,0.791,0.987,0.868,0.999612146075728,0.999132695756127,0.998516850418328
FBgn0000535,0.00485012,0.00514744,0.000297319999999999,0.416899311372,69849,0.799,0.542,0.512,0.998558072487644,0.997439586028461,0.998516850418328
FBgn0053269,0.496266,0.529279,0.0330130000000001,0.394957174478,20782,0.18,0.076,0.058,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0037584,0.357151,0.372539,0.015388,0.437203341561,21068,0.27,0.09,0.089,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0086706,0.06378,0.0747167,0.0109367,0.469419229752,22694,0.293,0.193,0.177,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0243512,0.00368515,0.00383927,0.00015412,0.415111183249,36966,0.874,0.599,0.579,0.998558072487644,0.998581876332623,0.999306912442396
FBgn0250815,0.00257241,0.0347208,0.03214839,0.431613548664,20991,0.19,0.67,0.323,0.998773974595171,0.997168459245821,0.998516850418328
FBgn0039108,0.00686793,0.00900493,0.002137,0.40605344053,21145,0.468,0.437,0.377,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0051954,0.0285051,0.0401726,0.0116675,0.464564307458,21024,0.317,0.361,0.302,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0261566,0.00757351,0.00373043,0.00384308,0.426454608318,20246,0.476,0.505,0.638,0.998558072487644,0.998845986788526,0.998516850418328
FBgn0039128,0.00396209,0.00260589,0.0013562,0.451268674413,21085,0.586,0.629,0.686,0.998558072487644,0.998845986788526,0.998516850418328
FBgn0029846,0.0816189,0.0985606,0.0169417,0.424109872537,106305,0.273,0.229,0.207,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0087012,0.0019877,0.00148396,0.00050374,0.387246778303,40429,0.75,0.739,0.783,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0004855,0.00268117,0.00206442,0.00061675,0.447253117627,20769,0.685,0.665,0.693,0.998773974595171,0.998845986788526,0.998516850418328
FBgn0035338,0.325612,0.178156,0.147456,0.430006037432,49690,0.045,0.076,0.115,0.992682926829268,0.995700153767299,0.998516850418328
FBgn0053558,6.30469e-05,9.62346e-05,3.31877e-05,0.443320390706,65932,0.962,0.948,0.936,0.999263237104939,0.999491150442478,0.999788439768263
FBgn0083988,0.125956,0.324698,0.198742,0.461025385764,20090,0.038,0.179,0.087,0.995301988178399,0.993931506849315,0.998516850418328
FBgn0261545,6.28781e-05,0.00155555,0.0014926719,0.425939039641,66371,0.607,0.952,0.762,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0260486,0.00329181,0.00423403,0.00094222,0.412775728898,43113,0.631,0.606,0.566,0.998558072487644,0.997780642923219,0.998516850418328
FBgn0026873,0.000396079,0.000320526,7.5553e-05,0.505910954333,20978,0.897,0.864,0.873,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0002564,0.000274904,0.00113034,0.000855436,0.3982802943,22562,0.645,0.907,0.809,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0013576,0.00610567,0.00766652,0.00156085,0.425167805527,99222,0.6,0.553,0.504,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0050082,0.0317745,0.0545231,0.0227486,0.45592560964,21078,0.23,0.362,0.276,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0262587,0.00137101,0.000887856,0.000483154,0.407613119464,20885,0.698,0.779,0.826,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0263492,0.0103758,0.0073669,0.0030089,0.438366500047,21206,0.443,0.428,0.455,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0261061,0.00238683,0.00258075,0.00019392,0.378986587183,20130,0.86,0.705,0.693,0.999263237104939,0.998845986788526,0.999306912442396
FBgn0028879,0.0863923,0.177904,0.0915117,0.40413868388,42139,0.11,0.194,0.123,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0083989,0.0353528,0.135895,0.1005422,0.466152314584,20090,0.085,0.313,0.147,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0037279,0.0527465,0.0511566,0.0015899,0.413504341311,22689,0.543,0.222,0.229,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0261631,0.000246381,0.000164659,8.1722e-05,0.400340384148,20565,0.906,0.903,0.91,0.999263237104939,0.999491150442478,0.999306912442396
FBgn0261363,5.26297e-06,0.146885,0.14687973703,0.480691102281,22399,0.042,0.976,0.124,0.999513714866238,0.995700153767299,0.998516850418328
FBgn0036949,0.0881433,0.0867682,0.00137509999999999,0.41544924154,21425,0.571,0.166,0.161,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0250822,0.00422417,0.00250109,0.00172308,0.4600116189,20656,0.557,0.624,0.716,0.998558072487644,0.998845986788526,0.998516850418328
FBgn0002629,0.000262349,0.00143373,0.001171381,0.440574956589,20732,0.583,0.878,0.738,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0028707,0.00823496,0.013107,0.00487204,0.461815425431,21108,0.427,0.465,0.44,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0250817,0.00559167,0.00405146,0.00154021,0.433338190296,20589,0.571,0.541,0.577,0.998558072487644,0.998581876332623,0.998516850418328
FBgn0250821,0.00240709,0.00241125,4.16000000000001e-06,0.414164814902,21151,0.991,0.664,0.665,0.998773974595171,0.998845986788526,0.999788439768263
FBgn0016726,0.0204689,0.00866723,0.01180167,0.454179791616,20635,0.313,0.406,0.454,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0031275,0.0053818,0.00142193,0.00395987,0.44791171154,31533,0.441,0.551,0.756,0.998558072487644,0.999132695756127,0.998516850418328
FBgn0039332,0.000261393,0.000120575,0.000140818,0.409348116115,21737,0.874,0.886,0.934,0.999263237104939,0.999491150442478,0.999306912442396
FBgn0010415,0.00697973,0.0076887,0.00070897,0.414501377004,108569,0.692,0.465,0.445,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0004567,0.00326249,0.00500872,0.00174623,0.416566036048,22359,0.518,0.621,0.51,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0031519,0.0072846,0.00844119,0.00115659,0.445392034292,22396,0.58,0.484,0.438,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0032839,0.00290167,0.00150472,0.00139695,0.393981570359,20836,0.57,0.687,0.801,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0263395,0.00228176,0.00329856,0.0010168,0.427534114484,68446,0.656,0.717,0.657,0.999263237104939,0.998845986788526,0.998516850418328
FBgn0037718,0.0337762,0.0529522,0.019176,0.444748697112,22642,0.243,0.337,0.251,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0035147,0.285788,0.17597,0.109818,0.454022988506,22794,0.07,0.1,0.141,0.992682926829268,0.995700153767299,0.998516850418328
FBgn0010355,0.758754,0.766574,0.00781999999999994,0.441270276758,29159,0.35,0.037,0.036,0.992682926829268,0.984784741144414,0.998516850418328
FBgn0262408,0.00111718,0.0013447,0.00022752,0.422164640223,20068,0.858,0.798,0.784,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0262194,0.0523773,0.038386,0.0139913,0.394495869414,20094,0.29,0.266,0.295,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0262185,0.0039785,0.0148442,0.0108657,0.430384787695,20089,0.339,0.617,0.402,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0262419,0.00129325,0.000923573,0.000369677,0.420369172596,20099,0.772,0.752,0.807,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0037436,0.00810669,0.00849545,0.00038876,0.439230805398,21269,0.739,0.443,0.424,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0037912,0.00142246,0.00130263,0.00011983,0.434625722597,27159,0.882,0.752,0.751,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0261617,1.86679,1.87187,0.00507999999999997,0.454845698584,37848,0.423,0.001,0.003,0.926707692307692,0.926707692307692,0.998516850418328
FBgn0261688,0.0917939,0.153218,0.0614241,0.419523337913,62602,0.133,0.193,0.142,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0030667,0.0473043,0.0617156,0.0144113,0.435185966096,23714,0.299,0.312,0.252,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0262370,0.000621178,0.0080443,0.007423122,0.445412455817,20087,0.355,0.851,0.451,0.999263237104939,0.997168459245821,0.998516850418328
FBgn0263611,0.00433995,0.00414492,0.000195030000000001,0.430937111132,20894,0.856,0.589,0.579,0.998558072487644,0.998581876332623,0.999306912442396
FBgn0243486,0.18443,0.171845,0.012585,0.402096554559,77842,0.295,0.133,0.134,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0031716,0.541329,0.787411,0.246082,0.474259599444,22319,0.017,0.055,0.031,0.992682926829268,0.984784741144414,0.993993399339934
FBgn0041242,0.760412,0.621473,0.138939,0.408571831383,21279,0.077,0.055,0.06,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0032749,0.00058134,0.000122504,0.000458836,0.480984531237,23402,0.683,0.846,0.926,0.999263237104939,0.999491150442478,0.998516850418328
FBgn0041579,0.0398381,0.0195373,0.0203008,0.44656998378,20962,0.258,0.331,0.385,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0013725,0.000213091,0.000749996,0.000536905,0.444737789512,24999,0.716,0.917,0.836,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0020269,0.00220837,0.000695221,0.001513149,0.417760918199,61686,0.568,0.692,0.835,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0032449,0.132096,0.118766,0.01333,0.457738698094,21722,0.305,0.166,0.18,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0261445,0.00159877,0.0036175,0.00201873,0.45476143338,25255,0.535,0.755,0.64,0.999263237104939,0.998845986788526,0.998516850418328
FBgn0261446,0.0264124,0.0118122,0.0146002,0.405775075988,25662,0.262,0.318,0.347,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0013799,0.00777311,0.00530578,0.00246733,0.438311584724,31343,0.472,0.464,0.525,0.997872806401797,0.997780642923219,0.998516850418328
FBgn0020880,0.000465536,0.00264083,0.002175294,0.421815236467,22223,0.545,0.87,0.673,0.999263237104939,0.998845986788526,0.998516850418328
FBgn0032812,0.221631,0.100792,0.120839,0.454474850381,21889,0.065,0.127,0.187,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0025387,0.0252924,0.0277383,0.0024459,0.491254881983,23556,0.445,0.365,0.333,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0008651,0.121206,0.0795494,0.0416566,0.431587531714,44144,0.163,0.152,0.203,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0053963,1.5866,1.52656,0.0600400000000001,0.392394898441,21170,0.112,0.018,0.02,0.988123359580053,0.984784741144414,0.998516850418328
FBgn0261808,0.00518363,5.61748e-07,0.005183068252,0.427265317694,28219,0.442,0.591,0.992,0.998558072487644,0.999859091211496,0.998516850418328
FBgn0036950,0.0457539,0.0518055,0.0060516,0.417815188234,21622,0.411,0.266,0.239,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0039366,6.61152e-07,0.00433449,0.004333828848,0.420507951578,21065,0.47,0.991,0.588,0.999717656468706,0.998581876332623,0.998516850418328
FBgn0004363,0.00220295,0.0039522,0.00174925,0.464235861427,23641,0.545,0.712,0.622,0.999263237104939,0.998581876332623,0.998516850418328
FBgn0036306,0.0070774,0.0079212,0.0008438,0.402694541231,21525,0.581,0.425,0.396,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0260741,0.132022,0.0686894,0.0633326,0.460215348116,21918,0.127,0.165,0.243,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0031623,0.106792,0.106197,0.000594999999999998,0.423306049305,20647,0.746,0.206,0.202,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0031619,0.00179291,0.00161037,0.00018254,0.449380646363,21474,0.848,0.748,0.741,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0262446,0.245634,0.240607,0.005027,0.439771030363,20090,0.388,0.102,0.102,0.994050955414013,0.993931506849315,0.998516850418328
FBgn0262425,0.103093,0.104587,0.001494,0.414311305732,20096,0.549,0.144,0.146,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0262422,0.0527872,0.000835752,0.051951448,0.437640253329,20053,0.123,0.285,0.806,0.997872806401797,0.999132695756127,0.998516850418328
FBgn0262203,0.00766026,0.00674816,0.000912100000000001,0.398835589172,20096,0.616,0.453,0.465,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0262260,0.00109952,0.00124532,0.0001458,0.413508405451,20106,0.889,0.782,0.774,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0262412,0.0322225,0.02319,0.0090325,0.473224970084,20056,0.307,0.307,0.338,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0262435,0.0420376,6.35926e-05,0.0419740074,0.500648055833,20060,0.093,0.284,0.946,0.997872806401797,0.999491150442478,0.998516850418328
FBgn0038002,0.00627517,0.00619086,8.43099999999998e-05,0.461794177708,21057,0.926,0.516,0.53,0.998558072487644,0.997780642923219,0.999306912442396
FBgn0000278,0.00182169,0.00127301,0.00054868,0.411865317891,20463,0.731,0.716,0.783,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0024983,0.00608886,0.00589764,0.00019122,0.475838926174,22350,0.812,0.501,0.49,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0262400,0.00522698,0.0046018,0.00062518,0.392842922556,20092,0.726,0.568,0.583,0.998558072487644,0.998581876332623,0.998516850418328
FBgn0262372,0.00169185,0.00182177,0.00012992,0.425254135938,20068,0.91,0.761,0.75,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0262388,0.000445918,0.000378551,6.7367e-05,0.448131747848,20099,0.927,0.863,0.861,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0262441,0.00491452,0.00527559,0.00036107,0.400896860987,20070,0.716,0.53,0.492,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0000044,0.00431188,0.00236327,0.00194861,0.435704087096,22412,0.51,0.582,0.663,0.998558072487644,0.998845986788526,0.998516850418328
FBgn0030483,0.00373504,0.0045415,0.000806460000000001,0.423753805175,21024,0.697,0.655,0.614,0.998773974595171,0.998581876332623,0.998516850418328
FBgn0036487,0.00479151,0.00263114,0.00216037,0.42987984584,22055,0.54,0.593,0.686,0.998558072487644,0.998845986788526,0.998516850418328
FBgn0004777,0.0974608,0.240252,0.1427912,0.43212425508,21311,0.05,0.171,0.097,0.995301988178399,0.993931506849315,0.998516850418328
FBgn0083987,0.00490383,0.000994015,0.003909815,0.437703462563,20274,0.415,0.558,0.785,0.998558072487644,0.999132695756127,0.998516850418328
FBgn0004053,0.000992569,0.000967774,2.4795e-05,0.42578527895,21330,0.973,0.82,0.814,0.999263237104939,0.999132695756127,0.999788439768263
FBgn0259823,0.00559964,0.00579119,0.00019155,0.46205893052,27490,0.85,0.547,0.545,0.998558072487644,0.997780642923219,0.999164239545207
FBgn0262571,0.00126178,0.00149168,0.0002299,0.415174020679,20601,0.837,0.774,0.752,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0034121,0.00223908,0.00142057,0.00081851,0.442296377238,23794,0.65,0.693,0.755,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0261615,0.0288352,0.0200222,0.008813,0.394463835563,20628,0.35,0.344,0.376,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0054015,0.000666638,0.00107179,0.000405152,0.413861290634,20734,0.774,0.831,0.797,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0054007,0.0657916,0.098927,0.0331354,0.414315209911,20342,0.154,0.193,0.149,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0054006,0.00513832,0.00294397,0.00219435,0.43724137931,21025,0.497,0.561,0.63,0.998558072487644,0.998845986788526,0.998516850418328
FBgn0040296,0.00728254,0.00456661,0.00271593,0.391657229143,21192,0.453,0.485,0.589,0.998558072487644,0.998581876332623,0.998516850418328
FBgn0054011,0.000330653,0.000190701,0.000139952,0.443806475904,21248,0.887,0.885,0.918,0.999263237104939,0.999491150442478,0.999306912442396
FBgn0262454,0.600774,0.415157,0.185617,0.418012360447,20064,0.052,0.062,0.097,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0262413,0.00105539,0.000671416,0.000383974,0.390443006471,20090,0.792,0.83,0.863,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0262233,0.155129,0.130957,0.024172,0.440594551601,20116,0.181,0.122,0.144,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0024912,0.437335,0.433273,0.00406199999999995,0.441813261164,20692,0.412,0.069,0.072,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0037389,0.0128382,0.00460291,0.00823529,0.434096937545,20735,0.358,0.429,0.56,0.997872806401797,0.997780642923219,0.998516850418328
FBgn0250830,0.00291099,0.00295796,4.69699999999999e-05,0.389525514772,22340,0.949,0.659,0.66,0.998773974595171,0.998845986788526,0.999309817877329
FBgn0039091,0.0936268,0.10584,0.0122132,0.427945859873,22608,0.318,0.2,0.179,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0005626,0.000457673,0.000287133,0.00017054,0.405174060912,26169,0.768,0.866,0.888,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0037717,0.407036,0.110124,0.296912,0.449044837386,25336,0.034,0.109,0.195,0.994050955414013,0.995700153767299,0.998516850418328
FBgn0029937,0.00175788,0.00099156,0.00076632,0.436278852879,21445,0.663,0.724,0.788,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0011896,0.00197153,0.000442293,0.001529237,0.404394180949,20072,0.492,0.7,0.847,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0034317,0.164183,0.169328,0.00514500000000001,0.437059366947,20567,0.399,0.146,0.151,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0034054,0.0784938,0.0589269,0.0195669,0.510233376551,21596,0.176,0.188,0.217,0.995301988178399,0.995700153767299,0.998516850418328
FBgn0032000,0.00618676,0.0204961,0.01430934,0.441368390749,20842,0.269,0.509,0.378,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0036952,0.00103515,0.00100752,2.76300000000001e-05,0.424389129938,21895,0.971,0.814,0.83,0.999263237104939,0.999132695756127,0.999788439768263
FBgn0036233,0.373066,0.453208,0.080142,0.459824306899,24816,0.112,0.082,0.065,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0036490,0.704001,0.926214,0.222213,0.400279545016,20748,0.036,0.05,0.042,0.992682926829268,0.984784741144414,0.998516850418328
FBgn0039596,0.00291927,4.05289e-07,0.002918864711,0.435108583247,23208,0.458,0.642,0.991,0.998558072487644,0.999629513028334,0.998516850418328
FBgn0037493,0.279844,0.0339847,0.2458593,0.421953435005,20917,0.033,0.123,0.343,0.995301988178399,0.997168459245821,0.998516850418328
FBgn0038020,0.769156,0.83184,0.0626840000000001,0.408950617284,21384,0.144,0.056,0.052,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0039008,0.0248463,0.0108022,0.0140441,0.461803689773,22332,0.281,0.382,0.456,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0011850,0.46606,0.486594,0.0205340000000001,0.387574111903,20071,0.226,0.065,0.053,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0033907,0.0534421,0.0571825,0.0037404,0.447898423818,20556,0.453,0.287,0.255,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0002632,0.432169,0.287813,0.144356,0.4330999243,21136,0.053,0.071,0.088,0.992682926829268,0.993931506849315,0.998516850418328
FBgn0033347,0.0130831,0.00778269,0.00530041,0.510594604686,21426,0.346,0.412,0.459,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0014002,0.0576886,0.067343,0.0096544,0.428244124037,25315,0.354,0.257,0.223,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0039019,0.0445868,0.0541887,0.0096019,0.479143824188,20977,0.298,0.277,0.232,0.997872806401797,0.995700153767299,0.998516850418328
FBgn0035715,0.000168883,0.000475497,0.000306614,0.451495356175,22503,0.802,0.914,0.852,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0033933,4.05299e-05,7.4867e-05,3.43371e-05,0.430547818013,21540,0.954,0.954,0.935,0.999263237104939,0.999491150442478,0.999620426829268
FBgn0035710,0.0143239,0.0222708,0.0079469,0.405743697725,34194,0.328,0.356,0.298,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0024177,0.00220356,0.00707413,0.00487057,0.443296115161,21674,0.397,0.709,0.481,0.999263237104939,0.997168459245821,0.998516850418328
FBgn0032946,0.000334085,0.000138634,0.000195451,0.366032886282,30347,0.859,0.914,0.934,0.999263237104939,0.999491150442478,0.999306912442396
