"stock","p.deletion","p.background","p.interaction","chrom","start","stop","q.deletion","q.interaction","deletion.effect","background.effect","interaction.effect"
"24117",0.78234357393287,2.42767173707286e-34,0.196146583283526,"2R",20290189,20830362,0.321208220136225,0.148320477734012,-0.0391120507399512,1.79519879969993,-0.33415983866097
"24137",0.121273933022631,5.50279267578275e-14,0.0272033570043938,"3R",10523031,11054571,0.101209731913247,0.0315933665938254,-0.416666666666662,2.17156862745098,-0.754901960784319
"24138",0.150190300240819,1.20396536483991e-07,0.0225995637463704,"3R",10957569,11075681,0.116052830735273,0.0271635373694502,-0.444444444444446,1.88888888888889,0.986111111111112
"24139",0.0924449509895622,3.20928547977414e-08,0.218273599646886,"3R",14732356,15467758,0.0865208593802679,0.159784672754056,-0.444444444444444,1.88888888888889,-0.488888888888889
"24140",0.897303555428679,8.03244646864103e-06,0.336534222223028,"3R",17122217,17545322,0.354583158056727,0.218466640103066,0.055555555555557,1.88888888888889,-0.555555555555557
"24141",0.619624224942095,2.73665861981355e-25,6.93248517691204e-07,"3R",26103647,26215013,0.275970775214449,2.80609124492164e-06,0.110389610389599,2.26802507836991,-1.44659650694132
"24142",0.81362242640101,3.0570989488054e-07,0.0983337885516986,"3R",26609284,26874606,0.33113810284965,0.0878767136412066,-0.0694444444444458,1.88888888888889,0.736111111111112
"24143",0.832483350492381,3.17796934486201e-08,0.00803046134060185,"3R",27434853,27904166,0.337034244212763,0.0115725450550452,0.0555555555555548,1.88888888888889,-1.02525252525252
"24144",0.458715258033234,6.51187630292294e-07,0.170586739376446,"3R",27762273,27904166,0.230179138414797,0.133390332910631,0.222222222222221,1.88888888888889,0.644444444444445
"24361",0.300147751627933,1.05358249162943e-31,0.000544790608196508,"2R",14061075,14328452,0.174930219233759,0.00116394239992874,-0.199999999999994,2.51875,-0.889120370370376
"24380",0.0619473940447532,2.9064078572706e-40,3.04134046736408e-10,"2R",19955762,20145427,0.0672323078447987,2.53672186662225e-09,-0.2625,2.51874999999999,-1.35098684210526
"24516",0.526607598876959,0.000172376759589112,0.635858960220592,"3R",27811479,27905053,0.252124444713522,0.33940368593448,-0.25,1.85,0.25
"24627",0.195376528021444,2.71377160448708e-16,2.43190056916228e-05,"3L",-301458,128631,0.135632177855198,7.43746708530677e-05,-0.238095238095238,1.97619047619048,-1.26190476190476
"24758",0.572256175831113,5.55977365986562e-30,0.38685548143688,"2R",21113351,21146708,0.263524715025978,0.242001373123346,-0.0925925925925904,1.91858839972047,-0.206833166226115
"24915",5.00314721913154e-11,3.56331631673276e-28,0.00609671289065348,"3L",5969060,6618729,4.44840700063141e-10,0.00937485295112977,1.25,2.34134615384616,-0.668552036199099
"24923",0.00920252364517886,1.09358702322942e-40,5.13257924115181e-08,"3L",21218032,21597878,0.0142776014515619,2.71677749679912e-07,-0.414285714285707,2.53809523809523,-1.32380952380953
"24964",0.480011331243334,7.81790500831834e-19,0.863648557610889,"3R",23763552,24287380,0.23659917612811,0.412122579232107,-0.160714285714286,2.36134453781512,0.0521170006464124
"24968",0.000464288502240166,5.06681043077106e-39,7.55140533785346e-17,"3R",1474083,2037668,0.0012059588900067,2.59812204208956e-15,-0.472727272727267,2.51875,-2.03173701298702
"24972",0.901746024905786,3.97123453280361e-17,0.0419150177211774,"3R",5457646,5509008,0.355730581027484,0.0452429823770727,-0.0357142857142822,2.36134453781512,-0.861344537815131
"25002",0.098479270039767,5.88080652112292e-23,0.0137127794805059,"3R",23360777,23731307,0.0896284086035995,0.0183223014224908,-0.285714285714291,2.36134453781513,0.638655462184879
"25116",3.46658240210425e-07,1.33461877828337e-24,0.0122033194950532,"3L",20984731,21219092,1.74212084613846e-06,0.0166440415073279,1.1875,2.34134615384615,-0.75801282051282
"25389",0.119263356231489,1.94854253259681e-25,0.0185818177101143,"3R",13581026,14023935,0.100990136911128,0.0232480893602594,-0.312500000000003,2.34134615384615,-0.653846153846151
"25431",0.310019146147394,2.68385982498274e-24,0.0806687471567634,"2R",18529284,18566186,0.17827770878066,0.0752032719115804,-0.174603174603175,2.36134453781513,0.402544351073764
"25438",0.049257230659851,4.96395643131652e-26,0.00290175064649549,"2R",20473291,20836711,0.0566511219197001,0.00501252211782252,-0.285714285714285,2.36134453781513,0.638655462184873
"25691",0.0309324674351931,2.7417340050549e-33,1.11411546487177e-11,"3R",9774079,10103926,0.0392896135911487,1.27773476909709e-10,-0.312499999999995,2.34134615384615,-1.57664027149322
"25741",0.766776037989005,8.61392326729517e-23,0.000154114878792547,"2R",10740461,11022806,0.315965927457796,0.00039644463334573,0.0874999999999877,2.34134615384615,-1.46861888111887
"25742",0.086069172475404,2.34883341279311e-23,0.0678873138711653,"2R",19601334,19909942,0.0822179876005133,0.0660095670613062,-0.285714285714286,2.36134453781513,0.438655462184875
"26525",0.0214161389109416,2.27955239465269e-22,1.57121585243209e-12,"3L",9756714,10174058,0.0287837457222839,2.27616637333015e-11,-0.363636363636366,2.37320574162679,-1.87320574162679
"27346",1.58568603177273e-16,7.98387088756455e-22,1.03531471578254e-06,"3L",15693003,16233380,2.81973587247975e-15,4.07095309809889e-06,-2.40340909090908,2.34134615384615,-2.05043706293707
"27354",3.24723842390229e-05,2.79791874945441e-26,0.0240608348883928,"2R",15338532,15389309,0.000113737799831279,0.028301964852672,-0.812500000000008,2.34134615384616,0.658653846153853
"27369",0.167732399454012,1.11158589601184e-41,8.08048915843881e-19,"3L",20445923,20942833,0.123079703933068,4.44825217116439e-17,-0.199999999999994,2.51875,-2.18541666666668
"27383",0.251805406955084,1.43400862902413e-17,0.854916243395205,"2L",13421556,13878659,0.156901004119441,0.411385795182474,-0.285714285714285,2.36134453781513,-0.0613445378151257
"27587",0.223575402521446,9.21513531371384e-10,0.00151706626921238,"3L",15671057,15973064,0.14750755752081,0.00287977330695368,-0.363636363636367,2.3030303030303,-1.5530303030303
"27921",0.209575560132118,3.8629387713418e-20,0.700530188246433,"3R",21146224,21341511,0.142076038036851,0.361760710586546,-0.285714285714288,2.36134453781513,-0.111344537815125
"29027",5.34427695250623e-06,4.19632682651888e-29,1.03621047425323e-13,"3R",21059545,21118719,2.02532023772887e-05,2.037237651575e-12,-0.812500000000004,2.34134615384615,-2.2857905982906
"6455",0.225244604170877,1.04658421961285e-36,6.4911120450301e-11,"2R",10133068,11063783,0.14750755752081,6.38091304194613e-10,-0.200000000000003,2.51875,-1.64375
"6916",2.48186883743571e-06,1.41694626947693e-36,0.00079804797482787,"2R",12914232,12984827,1.00655741282101e-05,0.0015917382962713,0.800877192982465,2.12360446570973,-0.740271132376396
"6962",0.0140121100080188,8.25122757730186e-18,0.000110722316610399,"3R",14224953,14922493,0.0203723437299299,0.000298783591866524,-0.547619047619053,2.18840579710145,-1.22412008281573
"7146",0.148060458724824,9.50021671558892e-20,0.00641887526073388,"2R",7955746,8118269,0.115409504769506,0.00965449580405308,-0.285714285714288,2.36134453781513,-0.861344537815122
"7488",0.534913433662877,2.59857865906567e-17,0.605505238973991,"2L",67166,129261,0.253915448570549,0.331437844119516,0.133333333333338,2.63333333333333,-0.145238095238098
"7489",0.375798535023144,3.8132334607683e-32,0.344807817298469,"2L",715084,826285,0.202032486245905,0.222786697677297,-0.166153846153841,2.48952380952382,-0.231605257487614
"7490",0.669101024775369,4.85783974735874e-18,0.278471623813131,"2L",826173,1074079,0.287881969541724,0.193556389838857,-0.133333333333329,2.48809523809523,0.423015873015868
"7491",1.03276296324701e-12,7.7493756251907e-24,0.755976318906725,"2L",1074079,1158137,1.03802401252611e-11,0.377817048180676,-1.82000000000001,2.48952380952381,-0.0947869674185419
"7492",9.04352699547047e-08,1.20279003689039e-24,2.97965020288235e-08,"2L",1555098,1737249,4.97763594694215e-07,1.64027637738241e-07,1.34666666666668,2.48952380952381,-1.84040100250627
"7493",0.125590489438961,5.10517207583975e-21,0.102670523671022,"2L",2175607,2362917,0.103320146719969,0.090867198770713,-0.333333333333334,2.48809523809524,0.511904761904762
"7494",0.755199216065756,2.10108729160513e-18,0.212719646081679,"2L",2494660,2755377,0.311751164690022,0.157777001933719,-0.083333333333334,2.48809523809524,-0.438095238095239
"7495",0.508345334551155,1.23828009806919e-19,0.601486107575189,"2L",3771368,3888977,0.247400067423763,0.331113851090604,-0.151515151515154,2.48809523809524,-0.169913419913417
"7496",0.130484250504176,9.80635520424033e-34,0.753010525583585,"2L",4820718,4887766,0.106212183346124,0.377817048180676,-0.261176470588237,2.4895238095238,-0.0700864693703561
"7497",0.325890599355819,1.69131152692128e-20,0.000135092652457017,"2L",5147258,5305646,0.181972630499359,0.000350790331989912,0.238095238095241,2.48809523809524,-1.3452380952381
"7498",0.00258100731241884,1.59054316399224e-14,0.604206877024539,"2L",5305646,5555049,0.00489062074254655,0.331437844119516,-1.00181818181819,2.48952380952381,-0.22437229437229
"7499",0.462598787110324,4.79081879302354e-21,0.677421693214841,"2L",5658629,5805324,0.230179138414797,0.354695857980318,0.166666666666664,2.48809523809524,-0.13095238095238
"7500",0.148747261706606,1.78597503994986e-29,0.909918214444469,"2L",5805324,5944680,0.115409504769506,0.425938389467156,0.316363636363635,2.48952380952381,-0.0306493506493488
"7501",0.000334535178748438,1.76341985574488e-20,0.000756115031097039,"2L",6088361,6262082,0.000909824126435947,0.00151910941831005,0.91666666666666,2.48809523809524,-1.1017316017316
"7502",0.415161548459815,1.45086221830691e-27,0.0145984548485064,"2L",6253010,6411492,0.214976746269506,0.0189536467369188,0.158260869565224,2.48952380952381,-0.649602860907214
"7503",1.83304907504949e-11,5.07569095309853e-29,0.00325721687513479,"2L",7202317,7418128,1.7469974848787e-10,0.0054618033542258,-1.4152380952381,2.48952380952381,-0.757922077922077
"7504",0.166811082236973,1.48067232406958e-21,0.383316253429035,"2L",7576630,7702880,0.122808897653939,0.240882292630667,-0.333333333333337,2.48809523809523,0.261904761904765
"7505",5.37866816851748e-25,4.23088942260392e-31,1.41344109987292e-08,"2L",8989308,9176164,2.48679123863779e-23,8.457492779216e-08,2.68000000000001,2.48952380952381,-1.54507936507937
"7506",0.889882469128529,8.53577467186668e-21,0.611707852859762,"2L",9447643,9560489,0.353463234820057,0.331437844119516,0.0303030303030294,2.48809523809524,-0.151731601731601
"7507",0.0187241319501261,7.84614488202297e-32,0.926747230905218,"2L",9613611,9782218,0.0259190931813029,0.430158347919397,0.407272727272731,2.48952380952381,0.0212987012986986
"7508",0.842154168310912,2.19658615380206e-21,0.650216537473987,"2L",9782218,9897536,0.339759463177311,0.344172700324358,-0.0476190476190521,2.48809523809524,-0.137445887445883
"7510",0.143009533142744,6.84760704889116e-30,0.000689426091070844,"2L",11067029,11155825,0.113218323220762,0.00140232170778912,-0.320000000000008,2.48952380952382,-0.960112044817917
"7511",0.564986471533842,3.47287053235927e-18,0.336061212264911,"2L",11155825,11358603,0.262794481636198,0.218466640103066,0.166666666666667,2.48809523809524,-0.363095238095238
"7512",0.0137194177489194,5.00557339339168e-32,0.829209384852891,"2L",11358603,11445762,0.0202008948998381,0.403245499779006,-0.445000000000005,2.4895238095238,-0.0520238095238072
"7513",0.0164635491270236,1.54186570400738e-37,0.000120572129693761,"2L",11807409,11971081,0.0234932462346441,0.000319106275132389,-0.372631578947371,2.4895238095238,0.785329991645784
"7514",0.0795488316318265,2.45658760579715e-19,0.271470460998786,"2L",11971081,12066847,0.0779213348256674,0.190130496317134,-0.458333333333333,2.48809523809523,-0.363095238095237
"7516",0.000364899927281246,1.14226663004339e-32,2.39833005189964e-11,"2L",12423459,12655793,0.000969592182789779,2.64052748573765e-10,-0.63578947368422,2.48952380952381,-1.69547346627437
"7517",0.4362970834855,9.25431614965508e-23,0.965972952375299,"2L",12655793,12854729,0.223140527934377,0.439472134765,0.166666666666664,2.48809523809524,0.0119047619047641
"7518",0.0197765400418011,1.79262646820341e-20,0.781397813027979,"2L",14300969,14470247,0.0271660464642449,0.386134626013068,-0.533333333333335,2.48809523809524,0.086904761904764
"7519",0.00140173949388685,2.40221322585848e-31,0.613044949784615,"2L",14409711,14490657,0.00297286640299734,0.331509736770477,-0.570000000000002,2.48952380952381,-0.121876750700276
"7521",0.0042805870862882,1.12977278426662e-19,0.074027345014028,"2L",15912343,16042754,0.00749659393035155,0.0707689285255361,-0.761904761904759,2.48809523809524,0.607142857142854
"7522",1.40065417357367e-24,5.01607074698496e-39,0.25407978934955,"2L",16685211,16886557,5.39652571057151e-23,0.180709468055028,-2.30434782608694,2.45836403831983,0.282376702420919
"7523",0.0948995168450271,1.15021031521465e-17,0.521426135454186,"2L",18571864,18732675,0.0877523132668808,0.296530374254834,-0.395833333333337,2.48809523809524,0.24107142857143
"7524",3.32748535047487e-16,2.85680771508638e-29,6.49309157478166e-07,"2L",18973942,19161727,5.12813529111816e-15,2.66746344822935e-06,1.94666666666667,2.48952380952381,-1.40324929971989
"7525",0.00844213067837045,6.8624578720333e-30,0.636274479360678,"2L",19161727,19423709,0.013276063374859,0.33940368593448,0.513333333333335,2.48952380952381,0.117142857142857
"7526",4.64773049953257e-06,4.15754185639122e-25,0.0159643518580763,"2L",19576108,19764726,1.79070591511829e-05,0.0203432010797627,1.03,2.48952380952381,-0.721876750700277
"7527",0.0695483679237442,3.694022377075e-35,0.73688696037498,"2L",19764726,19935139,0.0715891364038134,0.373585242160354,0.346666666666679,2.48952380952381,0.0791036414565712
"7528",3.27030148583906e-06,8.00735983687788e-31,0.0209011867137952,"2L",20205107,20458307,1.30345000874367e-05,0.0253435144546528,-0.919642857142862,2.44285714285714,0.574188311688317
"7529",0.0513666809701171,3.38437801773697e-29,0.104724891768227,"2L",21102742,21244119,0.0579244908492175,0.0917998610720002,0.476470588235283,2.23004201680672,0.499369747899167
"7530",0.0954867900145968,1.36522273007061e-15,0.931311314268512,"2L",21237271,21309519,0.0879435825774933,0.431549070931212,-0.416666666666664,2.30555555555556,0.0277777777777774
"7531",0.963409449416061,2.94917485565074e-15,0.206463358111486,"2L",21828252,22019296,0.373679456956284,0.154424754642904,-0.0119047619047619,2.30555555555556,-0.410317460317461
"7532",5.2025464571923e-17,4.01010974504256e-43,0.03857423967281,"2R",2628314,2760146,1.00223439327096e-15,0.0423004906540482,1.16287878787878,2.68787878787878,-0.378668261562997
"7533",0.999999999999998,6.98469529379326e-20,0.789233411347289,"2R",2760146,2880531,0.377731461539402,0.38791733470857,4.19166837883251e-16,2.81818181818182,-0.0681818181818197
"7534",0.0006583545400942,1.97948079049028e-34,0.752937533591378,"2R",3380702,3510588,0.00161907349208745,0.377817048180676,-0.488636363636362,2.25264270613109,0.0565678201847017
"7535",0.630534628201936,2.4030499075233e-20,0.0879063933704854,"2R",3421058,3553300,0.277945252099779,0.0806530804225556,0.11250000000003,2.8714285714286,-0.474251152073762
"7536",0.0750806306399989,4.21487975449011e-28,0.0177899209406011,"2R",3553300,3699977,0.0741731350560148,0.0223886938489658,0.285714285714285,3.28571428571429,-0.535714285714286
"7537",0.631224696176141,6.87860342567259e-21,0.609534048671883,"2R",3773849,3948670,0.277945252099779,0.331437844119516,0.0833333333333335,2.62878787878788,0.121212121212122
"7538",0.487006268840205,4.16171614774225e-22,0.489684383958423,"2R",3948670,4119961,0.239536265747258,0.280216000438425,0.14285714285714,2.92063492063492,-0.170634920634917
"7539",3.78875770393797e-05,2.48844223988355e-25,0.00327414758877573,"2R",4062156,4214936,0.000128801968643444,0.0054618033542258,0.560185185185172,1.77977977977977,0.529430746536017
"7540",6.68687521940955e-13,2.76833646732678e-21,0.00197886922148903,"2R",4215033,4332249,7.02643639842099e-12,0.00355997882469085,-0.946428571428571,1.72857142857142,0.580639097744363
"7541",0.0060120254036967,2.22156571122569e-12,0.000184857509377139,"2R",6761890,7073552,0.0100710859365277,0.000454298001753565,0.495081967213116,1.53333333333334,0.849550801148463
"7542",0.385576852699457,6.19557427196884e-37,0.211520154417967,"2R",7073443,7285333,0.20490675623179,0.157351824383681,-0.125000000000007,2.53225806451613,-0.223047538200337
"7543",0.399996055984011,1.95558869375674e-19,0.464638626879412,"2R",8149005,8324950,0.208974117086161,0.269522242662066,0.199999999999998,2.95,-0.199999999999997
"7544",4.89521821896357e-08,1.51461468492902e-23,0.196947186167996,"2R",8868689,8922684,2.76008706007535e-07,0.148517854821688,-0.818548387096788,2.03722084367244,0.271989682643345
"7545",0.534546299732738,5.7719717427687e-14,0.324431389531934,"2R",12075393,12274020,0.253915448570549,0.212615698750318,-0.142857142857139,2.45714285714286,0.29285714285714
"7546",0.00953095966126917,2.75510699003577e-16,0.165908479881985,"2R",12499138,12716579,0.0146885847567151,0.130473493688524,-0.499999999999999,2.38888888888889,0.361111111111109
"7547",4.19892797482752e-28,1.29832413483502e-29,0.00476637782292137,"2R",12744683,12985001,4.85336563454066e-26,0.00767209738052849,-1.54605263157897,1.82253711201078,0.486673414305002
"7548",0.0047666124349028,2.3028345495422e-13,0.107723573893602,"2R",12985074,13282147,0.00828500513350501,0.0929483794191519,-0.545454545454544,2.28787878787879,0.46212121212121
"7549",0.0723187742092576,6.54444354221314e-26,0.60873535562532,"2R",14745547,14834784,0.0726871768809833,0.331437844119516,-0.312500000000003,2.63486842105263,0.115131578947371
"7550",0.0177976012215882,6.87259378542596e-16,0.0473781049398421,"2R",14834791,15029454,0.024935157090009,0.0499641990702384,-0.500000000000004,2.23333333333332,0.516666666666671
"7551",0.544794319003922,7.18738964576854e-18,0.926387011719084,"2R",15029454,15213128,0.255910270231528,0.430158347919397,-0.124999999999997,2.775,-0.0250000000000037
"7552",0.00115144937188247,2.40553577999207e-30,0.425987890982615,"2R",16470285,16723538,0.00251115524837201,0.257695959590044,0.40625,2.1616847826087,0.147525743707091
"7553",5.98157946824197e-05,2.93220716864246e-53,2.6632228788281e-05,"2R",16723538,16944303,0.000189420770132892,7.9678552821043e-05,0.496212121212118,3.05454545454545,-0.745334928229664
"7554",8.01169934017317e-27,1.78181308745027e-69,2.10920047710768e-25,"2R",16944303,17138350,6.17359263840287e-25,5.80549977714956e-23,1.855,4.74666666666667,-2.43745614035088
"7556",0.00177367994992715,2.51784494601863e-22,0.0122148575840777,"2R",17267032,17494586,0.00359670639044684,0.0166440415073279,0.599999999999995,3.07777777777777,-0.687301587301581
"7557",0.960496980400291,5.40489298754195e-38,0.0452215283670691,"2R",17601473,17759533,0.373679456956284,0.0478733302950216,0.00657894736842612,2.67919799498747,-0.369987468671683
"7558",0.000111910497078491,7.88130374497212e-26,0.0402024924149272,"2R",17927045,18085148,0.000340401773175164,0.0437375255629428,0.535000000000002,1.92666666666667,0.382543859649122
"7559",0.658093043833371,1.61259729163034e-24,0.459564719553909,"2R",18616872,18685827,0.284892242945635,0.269522242662066,-0.0769230769230768,2.92307692307693,-0.173076923076925
"7561",0.606627309251308,6.76509891516707e-15,0.175462965266037,"2R",20145420,20257300,0.273362648579972,0.136744794589774,-0.125000000000001,2.34868421052632,0.401315789473686
"7562",0.505199398338466,2.69038260076518e-33,0.0583005672228511,"3L",104350,180193,0.246387723095291,0.0594334263049297,-0.112956810631227,2.57751937984496,-0.457218627965264
"7563",0.147788764095816,4.50461855769532e-42,0.294590299739098,"3L",180193,346863,0.115409504769506,0.19952460293322,-0.229166666666666,2.60416666666667,-0.240530303030304
"7564",0.516100330239241,1.72815789247967e-35,0.00307918746510395,"3L",548528,749303,0.249597839351148,0.00526419545569834,0.101328903654489,2.57751937984496,-0.68466223698782
"7565",0.229163067255029,1.02932134396739e-71,1.63112574173663e-08,"3L",749809,959651,0.147977668712173,9.55237438831774e-08,-0.204347826086971,2.40153452685423,-1.27931230463199
"7566",0.00334864175402445,2.50037531516158e-48,9.21019555101966e-09,"3L",1478674,1586881,0.00614373852760912,6.03588994743176e-08,-0.374493927125505,2.48834498834499,-1.09141516378358
"7567",0.118809691399001,2.56260816127812e-12,0.708175103063359,"3L",1794363,1876385,0.100975856348678,0.363661743526057,-0.583333333333335,2.52777777777778,0.169191919191922
"7568",0.384464661082524,1.69046363972489e-23,0.000286728851113517,"3L",2151744,2256098,0.204786478766505,0.000674539341972421,-0.167582417582415,2.41770186335404,-1.12710357275575
"7569",0.584887195897926,1.58542798378802e-13,0.000867359527281402,"3L",2417381,2490163,0.267505404594737,0.00170526889115206,0.149999999999995,2.52777777777778,-1.32777777777777
"7570",0.62739585674827,4.13599088851602e-36,0.879826596512582,"3L",2656263,2821245,0.277315751830159,0.418254164957434,-0.0739957716701878,2.57751937984496,0.0406624383368539
"7571",0.258274219266927,3.67819437430234e-33,2.75800980275798e-09,"3L",2821245,3047162,0.159054249638134,1.89783112950509e-08,-0.198717948717953,2.49572649572649,-1.57905982905982
"7572",0.348988623729857,5.79679922124809e-13,0.940220780495861,"3L",3250456,3418132,0.192227103654217,0.433488186310644,-0.25,2.52777777777778,-0.0277777777777782
"7573",0.0714405765171014,2.35292656189052e-45,4.00320531473277e-05,"3L",3359142,3460609,0.072543404864472,0.000117220012354526,-0.279999999999998,2.53818181818182,-0.87151515151515
"7574",0.00841386661268468,1.04988215169334e-08,0.430667835063832,"3L",3460609,3545153,0.013276063374859,0.259386870204771,-1.08333333333333,2.52777777777777,0.448412698412694
"7575",0.278143764510061,1.1251408133144e-11,0.323054646362574,"3L",3542583,3593973,0.167445193281541,0.212615698750318,0.349999999999994,2.52777777777778,-0.427777777777772
"7576",0.371373151023879,2.36039459855268e-33,0.0761474722147056,"3L",3544899,3825133,0.2010560790281,0.0720251636871553,-0.155813953488371,2.57751937984496,-0.510852713178297
"7577",0.0163831054956939,1.80230382279092e-55,2.52304974940016e-22,"3L",3825133,3925483,0.0234932462346441,2.31486842476696e-20,-0.263157894736854,2.61562998405104,-2.16108452950558
"7578",0.0550408766473142,3.07889543435811e-13,0.622911764314604,"3L",3925483,4073993,0.0611423320892696,0.336184827152273,0.416666666666667,2.52777777777778,-0.194444444444444
"7580",0.170956659267913,7.8246220945439e-14,0.289519739154832,"3L",4384425,4542100,0.124483326909496,0.197740161492683,0.305555555555557,2.52777777777778,-0.36904761904762
"7581",0.00422622300527086,5.06543129521852e-28,2.9252272086506e-08,"3L",4692405,4976311,0.00745788522331538,1.64027637738241e-07,-0.441428571428573,2.41770186335404,-1.34315640880858
"7582",0.598840868580605,1.37079018127138e-10,0.53451858883026,"3L",4976403,5177896,0.270380926463492,0.30210339356113,-0.249999999999983,2.52777777777778,-0.361111111111128
"7583",0.589590606437129,3.99971243819271e-28,1.38039411127782e-07,"3L",5177896,5359162,0.268802295960599,6.55083794855871e-07,-0.0833333333333299,2.41770186335404,-1.2748447204969
"7584",0.00069787350217648,1.27533094670512e-22,0.00291376507057313,"3L",5359162,5601375,0.00169819549582534,0.00501252211782252,0.655677655677659,2.60952380952381,-0.789010989010994
"7585",0.0502646095170321,1.07528742019419e-27,2.66477387058727e-10,"3L",5601375,5684102,0.057430711922092,2.29209247173227e-09,-0.280000000000001,2.38666666666666,-1.52
"7587",0.0400951786110777,2.33178876821017e-27,2.15574117385687e-09,"3L",6211261,6256974,0.0483581369008146,1.52143625647972e-08,-0.280000000000003,2.38666666666667,-1.48666666666666
"7589",0.35758664226512,1.0946647508244e-16,0.433497005446604,"3L",7087906,7149284,0.195666084748421,0.260520783479389,0.185714285714285,2.45238095238095,-0.252380952380953
"7591",0.0139644236067447,5.62387126598242e-37,6.71687298605851e-12,"3L",8089573,8351924,0.0203723437299299,8.40361614980239e-11,-0.278528528528526,2.36111111111111,-1.56995631995632
"7593",0.148772705292677,4.2129905036545e-10,0.767535462645047,"3L",9501746,9687751,0.115409504769506,0.379966589449487,-0.449999999999999,2.52777777777778,0.133760683760683
"7594",1.53750538465108e-15,6.44029473572376e-24,0.00210915782354589,"3L",11815104,12074906,2.22142289696375e-14,0.00374540798369553,-1.62601626016261,2.38541666666666,-0.926067073170727
"7595",0.258370555413024,1.67969136602408e-15,0.244972671027204,"3L",12074955,12197081,0.159054249638134,0.175593390631008,-0.250000000000004,2.52777777777778,0.361111111111114
"7596",0.1545329752259,1.15807125919087e-21,3.18709572991409e-08,"3L",12620934,12783033,0.116363659778255,1.72007222926323e-07,0.253968253968253,2.60952380952381,-1.6422035480859
"7597",0.0866700773435229,2.97345294026211e-14,0.153105681660855,"3L",13221748,13339718,0.0824512970035456,0.122150138619859,0.500000000000003,2.52777777777778,-0.52777777777778
"7599",0.414655707707806,7.32761665486634e-29,2.54424162295083e-05,"3L",14052761,14183963,0.214976746269506,7.69553313995492e-05,-0.128070175438593,2.475,-1.0469298245614
"7600",0.0082362506329247,1.02704746654572e-25,0.692904765471997,"3L",14183963,14266263,0.0132221367040128,0.359170599003964,-0.468627450980393,2.475,-0.114705882352942
"7601",0.354736560856754,3.38865250619706e-14,0.00059348792951807,"3L",14266160,14402934,0.194786312758803,0.00121907056193644,0.247023809523811,2.60952380952381,-1.3999649859944
"7602",0.219426405559206,4.43252500141441e-25,8.26266044303713e-06,"3L",14402941,14607535,0.146182032293362,2.7074620094059e-05,-0.203076923076918,2.38666666666667,-1.11064856711916
"7604",0.233210151298265,1.60730912906519e-20,0.0740480039610291,"3L",14961429,15072766,0.149754379202722,0.0707689285255361,0.200828157349897,2.60952380952381,-0.600828157349896
"7605",0.893234403622537,1.3794254957549e-21,4.77454987849121e-05,"3L",14961558,15072766,0.353994079167811,0.000135482266132692,-0.0333333333333403,2.475,-1.42499999999999
"7606",5.98815879174534e-13,1.05088309167718e-17,0.00751021875911239,"3L",16040040,16122754,6.59186940509345e-12,0.0110543378257785,-2.09818181818182,2.38666666666667,-0.997056277056277
"7607",0.175695505701824,1.05208485027934e-14,0.480638594030319,"3L",16122754,16210428,0.126529036556537,0.276765846233646,0.305555555555556,2.52777777777778,-0.226190476190476
"7608",0.203948888763613,1.23210766682438e-12,0.0115817441444385,"3L",16404793,16476657,0.139077292156915,0.0159391707377535,0.383333333333334,2.29761904761905,-0.997619047619048
