FBgn0051954,CG31954,2L,3509058,3510082
FBgn0261566,CG42680,2L,14587988,14588234
FBgn0039128,CG13599,3R,19757365,19758450
FBgn0029846,Ca-alpha1T,X,6000211,6086516
FBgn0087012,5-HT2,3R,438597,459026
FBgn0004855,RpII15,3R,10134797,10135566
FBgn0035338,CG13800,3L,2379062,2408752
FBgn0053558,mim,2R,2813207,2859139
FBgn0083988,snoRNA:Me28S-C3420a,2R,8087167,8087257
FBgn0261545,CG42663,2R,8592679,8639050
FBgn0260486,CG42533,2L,7472505,7495618
FBgn0026873,MED18,X,1759942,1760920
FBgn0002564,Lsp1gamma,3L,66433,68995
FBgn0013576,l(3)82Fd,3R,1096943,1176165
FBgn0050082,CG30082,2R,11572509,11573587
FBgn0262587,CG43124,3R,24089610,24090495
FBgn0263492,CR43481,3L,9373013,9374219
FBgn0261061,Sfp96F,3R,21655820,21655950
FBgn0028879,CG15270,2L,15074776,15096915
FBgn0083989,snoRNA:Me28S-C3420b,2R,8086688,8086778
FBgn0037279,CG1129,3R,639058,641747
FBgn0261631,CG42714,3L,6226591,6227156
FBgn0261363,CG42640,2R,18952307,18954706
FBgn0036949,CG7290,3L,20197718,20199143
FBgn0250822,CG34222,2R,6207349,6208005
FBgn0002629,m4,3R,21849548,21850280
FBgn0028707,Mt2,2L,12096586,12097694
FBgn0250817,CR40465,2L,20253808,20254397
FBgn0250821,CG14644,3R,77614,78765
FBgn0016726,RpL29,2R,17181274,17181909
FBgn0031275,GABA-B-R3,2L,750609,762142
FBgn0039332,alrm,3R,21206785,21208522
FBgn0010415,Sdc,2R,17280111,17368680
FBgn0004567,slp2,2L,3836842,3839201
FBgn0031519,CG3326,2L,3317476,3319872
FBgn0032839,CG10659,2L,20024975,20025811
FBgn0263395,hppy,2R,15066259,15114705
FBgn0037718,P58IPK,3R,5412661,5415303
FBgn0035147,Gale,3L,648517,651311
FBgn0010355,Taf1,3R,2472611,2481770
FBgn0262408,mir-5,2R,15548663,15548731
FBgn0262194,mir-2489,2L,13609974,13610068
FBgn0262185,mir-995,3R,16561645,16561734
FBgn0262419,mir-277,3R,5925744,5925843
FBgn0037436,Hr83,3R,2174965,2176234
FBgn0037912,sea,3R,7385612,7392771
FBgn0261617,nej,X,9563251,9581099
FBgn0261688,Gyc76C,3L,19744043,19786645
FBgn0030667,CG15599,X,15579108,15582822
FBgn0262370,mir-7,2R,16493572,16493659
FBgn0263611,CR43620,2L,19978829,19979723
FBgn0243486,rdo,2L,18012407,18070249
FBgn0031716,CG14015,2L,5536850,5539169
FBgn0041242,Gr47a,2R,6249810,6251089
FBgn0032749,Phlpp,2L,19059647,19063049
FBgn0041579,AttC,2R,9281210,9282172
FBgn0013725,phyl,2R,10314841,10319840
FBgn0020269,mspo,2R,10559440,10601126
FBgn0032449,CG17036,2L,12698918,12700640
FBgn0261445,sgl,3L,6952647,6957902
FBgn0261446,CG13377,X,152366,158028
FBgn0013799,Deaf1,3L,19811280,19822623
FBgn0020880,CG7179,2L,7775804,7778027
FBgn0032812,Hakai,2L,19580608,19582497
FBgn0025387,CG12184,X,4521413,4524969
FBgn0008651,lbl,3R,17235701,17259845
FBgn0053963,CR33963,X,12553495,12554665
FBgn0261808,cu,3R,7026138,7034357
FBgn0036950,CG6996,3L,20200627,20202249
FBgn0039366,CG17198,3R,21599056,21600121
FBgn0004363,porin,2L,10847227,10850868
FBgn0036306,CG10973,3L,12746332,12747857
FBgn0260741,CG3281,3R,7786605,7788523
FBgn0031623,Taf12L,2L,4700941,4701588
FBgn0031619,CG3355,2L,4651403,4652877
FBgn0262446,mir-137,2R,11952759,11952849
FBgn0262425,mir-288,2L,20618366,20618462
FBgn0262422,mir-1011,3R,16679027,16679080
FBgn0262203,mir-967,2L,12460004,12460100
FBgn0262260,mir-2282,3L,3412145,3412251
FBgn0262412,mir-1008,2R,6773038,6773094
FBgn0262435,mir-1009,2R,19880577,19880637
FBgn0038002,CG12256,3R,8051004,8052061
FBgn0000278,CecB,3R,26039056,26039519
FBgn0024983,CG4293,X,421974,424324
FBgn0262400,mir-287,2L,17574610,17574702
FBgn0262372,mir-3,2R,15549100,15549168
FBgn0262388,mir-92b,3R,21477120,21477219
FBgn0262441,mir-313,2R,16471695,16471765
FBgn0000044,Act57B,2R,16831533,16833945
FBgn0030483,CG12725,X,13295872,13296896
FBgn0036487,Prp31,3L,15152183,15154238
FBgn0004777,Ccp84Ag,3R,2512450,2513761
FBgn0083987,snRNA:U11,3L,3893056,3893330
FBgn0004053,zen,3R,2578586,2579916
FBgn0259823,CG42404,3R,11075816,11083306
FBgn0039924,CG17471,4,1213042,1217466
FBgn0262571,CG43111,2R,15439576,15440177
FBgn0034121,CG6262,2R,12247235,12251029
FBgn0261615,CG42704,X,7306701,7307329
FBgn0054015,CG34015,X,16341601,16342335
FBgn0054007,CG34007,2L,20495106,20495448
FBgn0054006,CG34006,3R,23042671,23043696
FBgn0040296,Ocho,3L,14967948,14969140
FBgn0054011,CG34011,2L,5716819,5718067
FBgn0262454,mir-1007,X,21167412,21167476
FBgn0262413,mir-9b,2L,16698744,16698834
FBgn0262233,mir-2494,3R,12444488,12444604
FBgn0024912,agt,3R,2485130,2485822
FBgn0037389,CR10991,3R,1674675,1675410
FBgn0250830,CG12547,2R,673803,676143
FBgn0039091,CG10182,3R,19412929,19415537
FBgn0005626,ple,3L,6706455,6712624
FBgn0037717,CG8301,3R,5407034,5412370
FBgn0029937,CG8300,X,6998933,7000378
FBgn0011896,tRNA:K2:50C,2R,9423550,9423622
FBgn0034317,CR14499,2R,14075227,14075794
FBgn0034054,CG8366,2R,11842547,11844143
FBgn0259836,Su(Ste):CR42405,U,4548028,4549078
FBgn0032000,CG8372,2L,8212039,8212881
FBgn0036952,CG6933,3L,20211602,20213497
FBgn0036233,CG6947,3L,11969214,11974030
FBgn0036490,CG6888,3L,15200944,15201692
FBgn0039596,CG10000,3R,24574105,24577313
FBgn0037493,CG10032,3R,3097314,3098231
FBgn0038020,GstD9,3R,8191902,8193286
FBgn0039008,CG6972,3R,18527729,18530061
FBgn0011850,tRNA:E4:56Fc,2R,15613647,15613718
FBgn0033907,mRpS16,2R,10060485,10061041
FBgn0002632,m6,3R,21858633,21859769
FBgn0033347,CG8248,2R,4806445,4807871
FBgn0014002,Pdi,3L,15130430,15135745
FBgn0039019,HP1c,3R,18571350,18572327
FBgn0035715,CG10103,3L,6747116,6749619
FBgn0033933,CG10104,2R,10278291,10279831
FBgn0035710,SP1173,3L,6682425,6696619
FBgn0024177,zpg,3L,6597455,6599129
FBgn0032946,nrv3,2L,21380000,21390347
FBgn0011910,tRNA:L3:49Fb,2R,9320173,9320299
FBgn0038397,CG10185,3R,11886409,11893234
FBgn0011938,tRNA:N5:42Ah,2R,2040108,2040181
FBgn0011883,tRNA:I:49Fc,2R,9318790,9318863
FBgn0032945,CG8665,2L,21371232,21377995
FBgn0000625,eyg,3L,12456132,12461121
FBgn0025874,Meics,3L,13955754,13957793
FBgn0030850,CG8408,X,17517247,17521929
FBgn0017549,Ric,2R,11994945,11997520
FBgn0038126,CG8483,3R,9034470,9040187
FBgn0028582,lqf,3L,7521904,7531379
FBgn0035790,Cyp316a1,3L,7484964,7486584
FBgn0035714,CG8549,3L,6746013,6747137
FBgn0033742,CG8550,2R,8359420,8361321
FBgn0031990,CG8552,2L,8134247,8159575
FBgn0043005,CG10251,3R,19522104,19524749
FBgn0033969,CG10202,2R,10705365,10707492
FBgn0033970,CG10205,2R,10720338,10721460
FBgn0039117,tst,3R,19594121,19598529
FBgn0032685,CG10211,2L,18517493,18531782
FBgn0025608,Faf,2L,18706261,18708688
FBgn0032811,CG10268,2L,19579093,19580346
FBgn0035690,CG10274,3L,6171779,6174883
FBgn0033985,CG10257,2R,10830116,10831974
FBgn0038453,CG10326,3R,12469327,12470887
FBgn0086134,Pros25,3R,8257047,8258279
FBgn0086253,rumi,3R,18574736,18576283
FBgn0086254,CG6084,3L,11613633,11617481
FBgn0250835,CG15394,2L,2588854,2592775
FBgn0250837,dUTPase,2L,11011332,11012138
FBgn0035767,CG8596,3L,7334983,7338281
FBgn0033019,CG10395,2R,1237998,1239477
FBgn0033020,CG10396,2R,1241499,1242231
FBgn0037412,Osi4,3R,2044040,2047503
FBgn0031550,CG8853,2L,3530903,3532526
FBgn0030342,CG10347,X,11746725,11748913
FBgn0025878,wrapper,2R,18267017,18270191
FBgn0005617,msl-1,2L,18683720,18688796
FBgn0040837,CG8620,3L,7151199,7151974
FBgn0002533,Lcp2,2R,4321472,4322080
FBgn0035762,CG8605,3L,7316729,7319358
FBgn0035761,RhoGEF4,3L,7314198,7316509
FBgn0035754,MED4,3L,7242629,7243623
FBgn0027602,CG8611,X,17307830,17316188
FBgn0033924,CG8613,2R,10239744,10243180
FBgn0024542,Neos,3L,7234792,7236239
FBgn0011604,Iswi,2R,8524123,8528133
FBgn0029629,CG8636,X,2503276,2504395
FBgn0003944,Ubx,3R,12482345,12560348
FBgn0035736,Cpr65Eb,3L,7080807,7081885
FBgn0032741,Side,2L,19027712,19030787
FBgn0032819,CG10463,2L,19758879,19760986
FBgn0032827,CG10481,2L,19890247,19892529
FBgn0036621,roq,3L,16366153,16371750
FBgn0015904,ara,3L,12573774,12589118
FBgn0015618,Cdk8,3L,9830185,9831750
FBgn0260392,CG42518,2R,14054732,14055885
FBgn0033321,CG8738,2R,4583931,4586088
FBgn0033330,CG8746,2R,4680138,4681282
FBgn0037539,CG10435,3R,3836631,3838920
FBgn0035649,CG10483,3L,5911005,5914398
FBgn0034634,CG10494,2R,17403601,17406611
FBgn0011591,fng,3L,20918983,20942609
FBgn0014032,Sptr,X,8357338,8359030
FBgn0037498,CG10029,3R,3141446,3142929
FBgn0023094,cyc,3L,19806892,19809038
FBgn0004623,Gbeta76C,3L,19680728,19683092
FBgn0036116,CG7888,3L,11047137,11052759
FBgn0033726,Cpr49Ad,2R,8278538,8279159
FBgn0031476,CG8813,2L,2869652,2870649
FBgn0033378,tsu,2R,4998306,4999087
FBgn0022774,Oat,3L,19640376,19642949
FBgn0036397,CG8783,3L,13992480,13994980
FBgn0003255,rk,2L,13982726,14001252
FBgn0004635,rho,3L,1463792,1468483
FBgn0030016,Or7a,X,8058299,8059741
FBgn0036899,tey,3L,19643902,19656763
FBgn0034583,CG10527,2R,16957568,16960290
FBgn0004811,fs(2)ltoPP43,2L,19792902,19795849
FBgn0020640,Lcp65Ae,3L,6130819,6131178
FBgn0001105,Gbeta13F,X,15754159,15756919
FBgn0040992,CG10570,2L,18810036,18810986
FBgn0041111,lilli,2L,2885952,2953077
FBgn0045063,fdl,2R,8375253,8394841
FBgn0012037,Ance,2L,13905645,13909172
FBgn0033738,CG8830,2R,8319407,8324082
FBgn0036386,CG8833,3L,13918985,13922097
FBgn0036005,pall,3L,9479548,9480867
FBgn0033717,CG8839,2R,8227115,8232118
FBgn0028940,Cyp28a5,2L,13977303,13979573
FBgn0037679,CG8866,3R,5157783,5160436
FBgn0038144,CG8870,3R,9205862,9207065
FBgn0027504,CG8878,2R,8033524,8038562
FBgn0035236,CG12004,3L,1569200,1575621
FBgn0263514,mir-4966,X,19452403,19452529
FBgn0000449,dib,3L,4062304,4064302
FBgn0052227,gogo,3L,20261959,20288231
FBgn0032915,CG12050,2L,21094961,21102392
FBgn0000043,Act42A,2R,1901415,1903190
FBgn0014343,mirr,3L,12686848,12703243
FBgn0028436,ECSIT,3R,1682307,1683636
FBgn0000416,Sap-r,3R,26709186,26714795
FBgn0035372,CG12093,3L,2772560,2774001
FBgn0032817,CG10631,2L,19742814,19756867
FBgn0030680,CG8944,X,15635368,15640240
FBgn0032727,CG10623,2L,18955481,18957169
FBgn0036314,CG10754,3L,12806128,12807103
FBgn0036300,CG10688,3L,12527690,12528615
FBgn0002855,Acp26Aa,2L,5892883,5893896
FBgn0029979,CG10777,X,7818151,7825388
FBgn0015568,alpha-Est1,3R,3371449,3374844
FBgn0010295,ng3,X,3135524,3136117
FBgn0010296,ng4,X,3137984,3138221
FBgn0003086,Pig1,X,3142628,3143322
FBgn0016794,dos,3L,2589402,2595590
FBgn0033821,CG10799,2R,9145391,9145997
FBgn0038035,lig3,3R,8224733,8227535
FBgn0033674,CG8964,2R,7910651,7912775
FBgn0031745,CG8965,2L,5859762,5879481
FBgn0040235,c12.1,X,9211947,9213277
FBgn0033075,Pld,2R,2129529,2142771
FBgn0040236,c11.1,X,9169683,9177132
FBgn0033465,CG12140,2R,5798398,5800993
FBgn0022786,Hira,X,7616167,7619942
FBgn0016041,Tom40,X,7630922,7633622
FBgn0024294,Spn43Aa,2R,3035203,3036757
FBgn0003374,Sgs4,X,3143534,3145073
FBgn0035170,dpr20,3L,852713,857239
FBgn0026398,Or22a,2L,1520613,1522151
FBgn0036327,CG10748,3L,12964310,12965459
FBgn0036328,CG10749,3L,12965574,12966754
FBgn0028567,robl62A,3L,1477619,1478369
FBgn0024179,wit,3L,4064146,4071713
FBgn0004054,zen2,3R,2568854,2569862
FBgn0010051,Itp-r83A,3R,1342862,1364584
FBgn0015324,Vha26,3R,1417453,1420429
FBgn0038304,CG12241,3R,11044984,11048093
FBgn0004189,snRNA:U6:96Ab,3R,20382414,20382520
FBgn0017551,Rca1,2L,6852324,6853876
FBgn0041241,Gr47b,2R,7249405,7250774
FBgn0050156,CG30156,2R,2868951,2870491
FBgn0033202,Gr43b,2R,3546761,3548123
FBgn0082585,sprt,2R,7272238,7284935
FBgn0004892,sob,2L,3578010,3580766
FBgn0037506,CG1287,3R,3326673,3328098
FBgn0086446,l(2)37Ce,2L,19132329,19133097
FBgn0037374,jagn,3R,1605031,1607030
FBgn0029664,CG10802,X,3377002,3378593
FBgn0039555,mRpS22,3R,23742631,23743970
FBgn0033830,CG10814,2R,9263476,9265219
FBgn0015576,alpha-Est8,3R,3335065,3341391
FBgn0002887,mus201,2L,8437411,8442352
FBgn0035298,CG1140,3L,1963143,1966808
FBgn0010238,Lac,2R,8340696,8353154
FBgn0052677,X11Lbeta,X,10523348,10603712
FBgn0031129,CG1324,X,20605771,20606987
FBgn0033482,CG1371,2R,5958476,5963147
FBgn0030277,CG1394,X,11063855,11064681
FBgn0004389,bnk,3R,27018946,27020517
FBgn0038157,CG12538,3R,9348673,9349257
FBgn0263515,mir-4983,2R,15524919,15525026
FBgn0036324,CG12520,3L,12894475,12895674
FBgn0031276,CG12506,2L,773575,774020
FBgn0033464,CG1441,2R,5786523,5790788
FBgn0031045,CG14212,X,19519767,19520638
FBgn0033542,CG12309,2R,6612775,6614783
FBgn0044508,snoRNA:M,X,1376525,1376623
FBgn0036541,CG12486,3L,15848782,15849477
FBgn0029134,Prosbeta5,2R,6707469,6708685
FBgn0033557,CG12325,2R,6711105,6715149
FBgn0038617,CG12333,3R,14226091,14228435
FBgn0033550,CG12341,2R,6699621,6700835
FBgn0010358,deltaTry,2R,7242838,7243633
FBgn0022943,Cbp20,3R,13990385,13991161
FBgn0038100,Paip2,3R,8806768,8810345
FBgn0033901,O-fut1,2R,10048940,10050326
FBgn0034263,CG10934,2R,13609844,13610886
FBgn0034253,CG10936,2R,13492456,13526639
FBgn0036317,CG10948,3L,12837351,12843214
FBgn0037386,CG1208,3R,1657350,1664504
FBgn0036316,CG10960,3L,12817982,12836205
FBgn0014007,Ptp69D,3L,12728049,12734668
FBgn0027111,miple,3L,267764,270340
FBgn0004782,Ccp84Ab,3R,2527689,2528599
FBgn0010380,Bap,X,19625036,19628620
FBgn0030038,CG1440,X,8331113,8334969
FBgn0040487,BobA,3L,14938599,14939212
FBgn0030570,CG12540,X,14390170,14391275
FBgn0033987,CG12424,2R,10850819,10868089
FBgn0030843,CG12432,X,17426861,17428651
FBgn0037769,CG12419,3R,5806775,5807898
FBgn0031190,CG12576,X,21876681,21883923
FBgn0000547,ed,2L,4031379,4115059
FBgn0041717,snRNA:U6atac:29B,2L,8389724,8389820
FBgn0039774,CDase,3R,26285511,26291458
FBgn0011891,tRNA:K2:42Ae,2R,2029877,2029949
FBgn0039588,CG12413,3R,24367996,24370524
FBgn0035523,CG1311,3L,4277964,4281618
FBgn0035529,CG1319,3L,4292497,4293432
FBgn0063387,snoRNA:U27:54Eb,2R,13590142,13590213
FBgn0037213,CG12581,3R,380,10200
FBgn0060292,snoRNA:U49:66Da,3L,8594573,8594652
FBgn0003920,snRNA:U2:14B,X,16148705,16148896
FBgn0000280,Cec-Psi1,3R,26037249,26037475
FBgn0024182,waw,X,21234055,21244175
FBgn0032966,CG1421,2L,21903062,21903739
FBgn0037351,RpL13A,3R,1450186,1451679
FBgn0016126,CaMKI,4,466120,474566
FBgn0031659,CG14043,2L,4971704,4973687
FBgn0050010,CG30010,2R,5751325,5752081
FBgn0050020,CG30020,2R,6774320,6780696
FBgn0031749,CG14000,2L,5908906,5910289
FBgn0051050,CG31050,3R,24475805,24476202
FBgn0010292,bys,X,7795915,7797676
FBgn0000233,btd,X,9588221,9591606
FBgn0036859,CG14085,3L,19262451,19267271
FBgn0030074,CG12662,X,8877701,8878216
FBgn0030886,CG12672,X,17899930,17901525
FBgn0250844,CG4218,2L,14547520,14549075
FBgn0250845,CG1288,3R,3033095,3034137
FBgn0250847,CG14034,2L,5215211,5216533
FBgn0250848,26-29-p,3L,13987335,13989678
FBgn0250851,CG33981,2R,13661469,13669417
FBgn0033083,Dpit47,2R,2548155,2549623
FBgn0031040,CG14210,X,19510240,19510858
FBgn0003950,unc,X,20982441,20987534
FBgn0023416,Ac3,2L,21632599,21647967
FBgn0022361,Pur-alpha,4,578608,586562
FBgn0031043,CG14222,X,19515479,19517105
FBgn0031053,CG14223,X,19553745,19555555
FBgn0050263,CG30263,2R,17563826,17572505
FBgn0043903,dome,X,19570090,19577549
FBgn0031695,Cyp4ac3,2L,5268517,5270329
FBgn0250849,CG32388,3L,6976573,6977686
FBgn0031693,Cyp4ac1,2L,5264001,5265899
FBgn0030246,CG1582,X,10788969,10793335
FBgn0263516,mir-4958,X,15974956,15975089
FBgn0036868,CG14087,3L,19380702,19383133
FBgn0004404,RpS14b,X,7828937,7829832
FBgn0039779,PH4alphaSG2,3R,26315798,26317724
FBgn0029093,cathD,2R,3709615,3711073
FBgn0023527,CG3071,X,2156873,2158858
FBgn0036321,CG14120,3L,12878152,12882267
FBgn0004657,mys,X,7955680,7964270
FBgn0021742,C901,X,10858240,10861165
FBgn0004581,bgcn,2R,19740801,19746314
FBgn0029133,REG,X,13106366,13108014
FBgn0004864,hop,X,11254932,11262130
FBgn0030289,CG1597,X,11238539,11242033
FBgn0031182,Cyp6t1,X,21388461,21390196
FBgn0044051,Ilp1,3L,9791534,9791998
FBgn0050265,CG30265,2R,18719979,18722103
FBgn0030478,CG1640,X,13264639,13274193
FBgn0036138,CG14143,3L,11128097,11128441
FBgn0050181,CG30181,2R,19426154,19428296
FBgn0036094,CG14153,3L,10636633,10637715
FBgn0045482,Gr59b,2R,18969726,18970889
FBgn0011277,HLH4C,X,4539160,4541447
FBgn0015561,unpg,2R,5082719,5087377
FBgn0013773,Cyp6a22,2R,10759178,10760970
FBgn0036889,CG14100,3L,19582172,19583615
FBgn0036036,CG14174,3L,9712428,9713564
FBgn0050125,Ir56a,2R,14981772,14983679
FBgn0082981,snoRNA:Psi28S-2949,2R,4982877,4983031
FBgn0082928,snoRNA:Me28S-G3255a,2R,4983501,4983585
FBgn0082943,snoRNA:Me28S-A982a,2R,4983742,4983818
FBgn0082942,snoRNA:Me28S-A982b,2R,4984011,4984087
FBgn0082927,snoRNA:Me28S-G3255b,2R,4984268,4984349
FBgn0050274,CG30274,2R,18712713,18714350
FBgn0039428,CG14237,3R,22281858,22282964
FBgn0029771,CG12730,X,5411294,5412803
FBgn0030979,CG14190,X,18959447,18961453
FBgn0033184,CG12736,2R,3396032,3397959
FBgn0003023,otu,X,8379026,8383553
FBgn0011747,Ank,4,137015,150378
FBgn0030242,sofe,X,10749174,10751415
FBgn0040093,lectin-46Ca,2R,5704805,5706040
FBgn0030286,CG1657,X,11219495,11228107
FBgn0025549,unc-119,X,7182713,7185337
FBgn0026761,Trap1,2R,2521152,2523767
FBgn0023536,CG3156,X,381972,384767
FBgn0021814,Vps28,2R,3966742,3967561
FBgn0037736,CG12950,3R,5560560,5565651
FBgn0037677,CG12951,3R,5154998,5156047
FBgn0037672,sage,3R,5088383,5089464
FBgn0028669,Vha100-3,2R,14796505,14799219
FBgn0041236,Gr59d,2R,18991464,18992692
FBgn0038633,CG14303,3R,14470177,14475859
FBgn0038531,CG14325,3R,13452849,13454734
FBgn0050379,CG30379,2R,3827461,3829375
FBgn0038342,CG14870,3R,11307628,11308626
FBgn0023143,Uba1,2R,5575792,5580833
FBgn0024728,Slip1,4,684214,690510
FBgn0030163,CG1791,X,9857486,9858911
FBgn0033547,CG12935,2R,6696898,6698160
FBgn0050479,CG30479,2R,10561970,10562558
FBgn0031110,Obp19b,X,20287749,20288836
FBgn0030484,CG1681,X,13298789,13303249
FBgn0025111,Ant2,X,10672923,10680913
FBgn0015527,pen,X,21217530,21220866
FBgn0050350,CG30350,2R,4713896,4715268
FBgn0038529,CG14323,3R,13447190,13447822
FBgn0031351,CG14352,2L,1611421,1612579
FBgn0026415,Idgf4,X,9822299,9825012
FBgn0034031,CG12963,2R,11443303,11449941
FBgn0038647,CG14302,3R,14558423,14558756
FBgn0002641,mal,X,20300708,20304237
FBgn0031038,Tyler,X,19505559,19509647
FBgn0039523,CG12885,3R,23356035,23359655
FBgn0033943,CG12869,2R,10478708,10483126
FBgn0029888,CG3192,X,6571294,6573151
FBgn0031145,Ntf-2,X,20906501,20910263
FBgn0010395,betaInt-nu,2L,21052832,21058044
FBgn0044011,Spn43Ad,2R,3041242,3042927
FBgn0263598,Vha68-2,2L,12974322,12978615
FBgn0038532,CG14322,3R,13473666,13494939
FBgn0005616,msl-2,2L,3462213,3466111
FBgn0030829,CG12998,X,17112915,17113527
FBgn0039861,pasha,3R,27443699,27447197
FBgn0026777,Rad23,4,328723,330934
FBgn0038695,CG14280,3R,15082988,15085604
FBgn0033422,Or45b,2R,5447103,5448573
FBgn0033134,Tsp42El,2R,2933278,2936050
FBgn0033167,CG1701,2R,3296398,3296865
FBgn0045862,btz,3R,23525986,23529174
FBgn0022708,Adk2,2R,19911721,19913400
FBgn0034047,CG12970,2R,11743466,11745027
FBgn0037538,CG3223,3R,3835093,3836740
FBgn0031631,CG3225,2L,4815613,4818210
FBgn0050378,CG30378,2R,3837844,3838997
FBgn0040324,Ephrin,4,592383,598159
FBgn0050480,CG30480,2R,10562676,10565638
FBgn0029893,CG14442,X,6583329,6589034
FBgn0030391,Rab40,X,12353823,12357141
FBgn0033226,CG1882,2R,3700011,3702250
FBgn0034318,CG14500,2R,14076484,14077159
FBgn0044328,CG32052,3L,9797560,9801813
FBgn0050411,CG30411,2R,19303468,19304761
FBgn0052079,CG32079,3L,11018661,11020432
FBgn0040352,CG14416,X,2766023,2766854
FBgn0029639,CG14419,X,2779214,2779944
FBgn0050424,CG30424,2R,20852797,20854808
FBgn0263517,mir-4976,2R,2723038,2723140
FBgn0038878,CG3301,3R,17099965,17101973
FBgn0034284,CG14491,2R,13782583,13783083
FBgn0034283,CG14492,2R,13781187,13781847
FBgn0000442,Pkg21D,2L,786153,790795
FBgn0020445,E23,2L,3334871,3355000
FBgn0034985,CG3328,2R,20050013,20061150
FBgn0025739,pon,X,4530363,4533145
FBgn0039509,bigmax,3R,23113087,23114217
FBgn0034989,CG3356,2R,20085405,20089710
FBgn0039617,CG14521,3R,24750717,24796076
FBgn0039612,CG14523,3R,24703736,24705963
FBgn0036007,path,3L,9487634,9498429
FBgn0031229,CG3436,2L,156029,157666
FBgn0003257,r-l,3R,16896275,16899039
FBgn0037976,Tk,3R,7819897,7831194
FBgn0014388,sty,3L,3401137,3424935
FBgn0028996,onecut,4,619180,628119
FBgn0000256,capu,2L,3872658,3902860
FBgn0033214,CG1941,2R,3597379,3599494
FBgn0052076,Alg10,3L,11158075,11159720
FBgn0030485,CG1998,X,13303402,13307107
FBgn0031954,CG14537,2L,7840481,7841262
FBgn0039398,CG14540,3R,21785198,21787163
FBgn0037503,CG14598,3R,3265488,3267714
FBgn0027621,Pfrx,X,19389538,19403390
FBgn0023423,slmb,3R,16944973,16953202
FBgn0038853,RhoGAP93B,3R,16908758,16923527
FBgn0052057,dpr10,3L,10140553,10179205
FBgn0010762,simj,3L,10657843,10682480
FBgn0015000,betaggt-I,2L,4945598,4948321
FBgn0028913,CG3473,2L,14563072,14563726
FBgn0020258,ppk,2L,14378218,14381170
FBgn0000055,Adh,2L,14615555,14618902
FBgn0004837,Su(H),2L,15039496,15043335
FBgn0052022,CG32022,3L,8713380,8714372
FBgn0037828,tomboy20,3R,6561068,6561679
FBgn0038697,CG3581,3R,15199479,15200471
FBgn0017457,U2af38,2L,293337,294679
FBgn0052081,CG32081,3L,11020679,11022545
FBgn0052104,CG32104,3L,12386903,12392391
FBgn0035027,CG3511,2R,20459192,20462027
FBgn0038706,CG3517,3R,15249479,15250921
FBgn0038463,CG3534,3R,12822174,12825172
FBgn0015816,Slh,2L,2490205,2492666
FBgn0031279,CG3544,2L,784336,786161
